統計期,總計,大客車,大客車-自用,大客車-營業,大貨車,大貨車-自用,大貨車-營業,小客車,小客車-自用,小客車-營業,小客車-營業-計程車,小貨車,小貨車-自用,小貨車-營業,特種車,機車,機車-重型,機車-輕型
103年4月,21548889,32244,1671,30573,162359,92659,69700,6280660,6087617,193043,87413,880536,846109,34427,60954,14132136,11609622,2522514
103年5月,21399173,32715,1660,31055,162607,92867,69740,6296208,6101614,194594,87507,882001,847473,34528,61172,13964470,11549740,2414730
103年6月,21309303,32453,1673,30780,162793,93042,69751,6316754,6120386,196368,87598,883824,849049,34775,61237,13852242,11527987,2324255
103年7月,21221473,32549,1669,30880,162950,93151,69799,6337829,6139823,198006,87668,885120,850235,34885,61327,13741698,11482452,2259246
103年8月,21275956,32594,1674,30920,163044,93234,69810,6343914,6145538,198376,87656,886439,851505,34934,61114,13788851,11532803,2256048
103年9月,21287195,32682,1670,31012,163124,93276,69848,6357235,6158112,199123,87754,887829,852719,35110,61259,13785066,11562440,2222626
103年10月,21332084,32784,1663,31121,163236,93339,69897,6371539,6171994,199545,87750,889016,853803,35213,61329,13814180,11601619,2212561
103年11月,21339005,32858,1658,31200,163353,93464,69889,6388582,6188372,200210,87720,890141,854678,35463,61388,13802683,11610331,2192352
103年12月,21290279,32928,1661,31267,163446,93563,69883,6405778,6205246,200532,87643,890703,855191,35512,61464,13735960,11586845,2149115
104年1月,21307386,32967,1657,31310,163510,93647,69863,6430741,6228131,202610,87709,892049,856207,35842,61268,13726851,11596935,2129916
104年2月,21314434,33107,1651,31456,163670,93755,69915,6439800,6236050,203750,87660,892449,856541,35908,61156,13724252,11610224,2114028
104年3月,21319343,33183,1646,31537,163792,93823,69969,6447552,6243938,203614,87420,893732,857755,35977,61088,13719996,11636967,2083029
104年4月,21338503,33292,1655,31637,163950,93898,70052,6456229,6252152,204077,87314,895061,858964,36097,60999,13728972,11661620,2067352
104年5月,21355223,33374,1651,31723,164291,94105,70186,6471134,6265840,205294,87333,896564,860321,36243,61020,13728840,11681898,2046942
104年6月,21355294,33412,1651,31761,164561,94243,70318,6490096,6283184,206912,87245,898200,861577,36623,61103,13707922,11695782,2012140
104年7月,21340769,33472,1651,31821,164790,94357,70433,6512471,6304046,208425,87394,899079,862321,36758,61327,13669630,11700298,1969332
104年8月,21343918,33488,1643,31845,164989,94489,70500,6517256,6309266,207990,87259,899502,862679,36823,61579,13667104,11722543,1944561
104年9月,21378786,33630,1655,31975,165217,94555,70662,6524659,6316544,208115,87192,900489,863450,37039,61669,13693122,11765988,1927134
104年10月,21386780,33744,1657,32087,165403,94650,70753,6536431,6328389,208042,87129,901802,864736,37066,61924,13687476,11784254,1903222
104年11月,21405382,33843,1654,32189,165665,94811,70854,6553772,6345454,208318,87027,902871,865832,37039,61967,13687264,11802482,1884782
104年12月,21400863,33890,1647,32243,165695,94866,70829,6573746,6365190,208556,86979,903739,866616,37123,62074,13661719,11805195,1856524
105年1月,21411791,33914,1642,32272,165745,94883,70862,6589668,6379055,210613,87169,904522,867266,37256,61941,13656001,11818526,1837475
105年2月,21412776,33961,1648,32313,165607,94815,70792,6587236,6376645,210591,87070,904545,867253,37292,62146,13659281,11837494,1821787
105年3月,21408139,34093,1649,32444,165754,94865,70889,6588544,6378606,209938,87024,905438,867997,37441,62206,13652104,11858642,1793462
105年4月,21403332,34205,1665,32540,165833,94912,70921,6591440,6380968,210472,87071,906310,868607,37703,62238,13643306,11873357,1769949
105年5月,21415449,34272,1666,32606,166053,95037,71016,6599687,6388835,210852,87088,907602,869658,37944,62334,13645501,11901253,1744248
105年6月,21442437,34356,1672,32684,166238,95144,71094,6614340,6401811,212529,87128,908555,870440,38115,62633,13656315,11938864,1717451
105年7月,21450654,34329,1666,32663,166483,95260,71223,6628277,6414578,213699,87237,909327,871015,38312,62886,13649352,11961682,1687670
105年8月,21453054,34397,1662,32735,166487,95281,71206,6626956,6413976,212980,87112,909605,871250,38355,62894,13652715,11989494,1663221
105年9月,21489722,34486,1657,32829,166609,95434,71175,6635843,6422486,213357,87165,910488,871959,38529,63174,13679122,12041469,1637653
105年10月,21502605,34539,1656,32883,166740,95537,71203,6644843,6431643,213200,87144,910995,872462,38533,63257,13682231,12071643,1610588
105年11月,21512916,34501,1651,32850,166750,95664,71086,6656576,6443457,213119,87106,911367,872657,38710,63379,13680343,12094740,1585603
105年12月,21510650,34531,1651,32880,166943,95772,71171,6666006,6453083,212923,86969,911524,872709,38815,63419,13668227,12113455,1554772
106年1月,21526811,34503,1643,32860,166948,95826,71122,6681027,6466125,214902,86958,911840,872924,38916,63377,13669116,12131815,1537301
106年2月,21532149,34411,1641,32770,166919,95847,71072,6679850,6465623,214227,86643,912220,873273,38947,63277,13675472,12157344,1518128
106年3月,21553379,34408,1640,32768,167242,96009,71233,6687094,6473000,214094,86668,913303,874318,38985,63300,13688032,12193473,1494559
106年4月,21560786,34427,1630,32797,167427,96097,71330,6690752,6475503,215249,86752,914137,874981,39156,63359,13690684,12217401,1473283
106年5月,21585949,34488,1628,32860,167677,96197,71480,6699965,6483929,216036,86922,915126,875739,39387,63659,13705034,12251549,1453485
106年6月,21603845,34513,1633,32880,167955,96368,71587,6709579,6492246,217333,87013,915841,876259,39582,63995,13711962,12289133,1422829
106年7月,21614728,34525,1635,32890,168059,96432,71627,6720553,6501976,218577,87068,916252,876521,39731,64264,13711075,12322679,1388396
106年8月,21638897,34473,1648,32825,168084,96533,71551,6725613,6506220,219393,87171,916518,876641,39877,64596,13729613,12371863,1357750
106年9月,21670885,34389,1645,32744,167673,96583,71090,6733737,6513990,219747,87299,917347,877397,39950,64542,13753197,12421083,1332114
106年10月,21691050,34317,1649,32668,167383,96607,70776,6742572,6522593,219979,87411,918041,878033,40008,64508,13764229,12457178,1307051
106年11月,21708660,34221,1653,32568,167094,96601,70493,6755022,6534656,220366,87494,918743,878657,40086,64659,13768921,12493354,1275567
