統計期,臺鐵旅客人數,臺鐵延人公里,臺鐵客運收入,高鐵旅客人數(千人次),高鐵延人公里,臺北捷運旅客人數,臺北捷運延人公里,臺北捷運客運收入,高雄捷運旅客人數,高雄捷運延人公里,高雄捷運客運收入,桃園機場捷運旅客人數,桃園機場捷運延人公里,桃園機場捷運客運收入,新北捷運旅客人數,新北捷運延人公里,新北捷運客運收入,臺中捷運旅客人數,臺中捷運延人公里,臺中捷運客運收入
109年5月,15081.0,643311.0,1032930.0,3671.0,621509.0,53173.0,434994.0,1196819.0,3310.0,24848.0,78760.0,1176.0,16786.0,43768.0,234.0,826.0,4235.0,,,
109年6月,16640.0,768724.0,1242000.0,4432.0,784625.0,55134.0,450147.0,1254303.0,4012.0,29646.0,94786.0,1295.0,18974.0,54207.0,280.0,906.0,3259.0,,,
109年7月,17921.0,867414.0,1393385.0,4976.0,865810.0,60459.0,488506.0,1343193.0,4551.0,32972.0,106120.0,1493.0,21779.0,60490.0,274.0,972.0,3422.0,,,
109年8月,18069.0,917837.0,1496962.0,5490.0,952062.0,59934.0,481505.0,1366253.0,4782.0,34031.0,111275.0,1651.0,24198.0,68305.0,280.0,1000.0,4862.0,,,
109年9月,17329.0,800326.0,1284962.0,5012.0,850399.0,60713.0,494476.0,1354548.0,4255.0,31466.0,99074.0,1547.0,22736.0,61463.0,271.0,1003.0,4463.0,,,
109年10月,18996.0,907963.0,1460528.0,5724.0,989561.0,61474.0,503278.0,1372699.0,4736.0,35668.0,110154.0,1603.0,23768.0,69240.0,319.0,1109.0,4331.0,,,
109年11月,18334.0,835280.0,1313265.0,5472.0,933517.0,62394.0,511252.0,1384450.0,4521.0,34539.0,103882.0,1550.0,22817.0,61790.0,455.0,1661.0,7131.0,,,
109年12月,18620.0,807795.0,1254628.0,5786.0,991732.0,68238.0,552057.0,1502999.0,4897.0,37352.0,113129.0,1656.0,24284.0,65098.0,408.0,1474.0,9183.0,,,
110年1月,16379.0,735472.0,1167780.0,4660.0,790160.0,59628.0,482116.0,1337804.0,4624.0,35524.0,102872.0,1451.0,20616.0,55522.0,378.0,1347.0,4511.0,,,
110年2月,15314.0,745478.0,1231354.0,4456.0,813051.0,49904.0,406175.0,1143496.0,4748.0,36922.0,101237.0,1172.0,16924.0,53650.0,406.0,1777.0,6232.0,,,
110年3月,17994.0,796879.0,1263305.0,5160.0,880082.0,63662.0,521775.0,1426428.0,4532.0,35532.0,103083.0,1524.0,21950.0,59397.0,426.0,1780.0,5460.0,,,
110年4月,18046.0,824991.0,1319024.0,5515.0,955794.0,60228.0,492532.0,1363822.0,4540.0,35521.0,104065.0,1520.0,22163.0,58647.0,421.0,1804.0,7016.0,201.0,1275.0,5361.0
110年5月,10141.0,442286.0,699548.0,2697.0,467165.0,33794.0,280538.0,787336.0,2502.0,20369.0,60929.0,842.0,11612.0,27179.0,228.0,922.0,4331.0,501.0,3192.0,12698.0
110年6月,3476.0,125319.0,180350.0,540.0,89477.0,13120.0,111498.0,309477.0,749.0,6959.0,19450.0,426.0,5618.0,13817.0,89.0,346.0,1959.0,102.0,620.0,2405.0
110年7月,5076.0,213290.0,340836.0,1137.0,197798.0,19326.0,163501.0,438885.0,1144.0,10110.0,26533.0,585.0,8058.0,22865.0,131.0,515.0,2441.0,180.0,1138.0,4452.0
