統計期,機動車輛數(輛) - 總計,機動車輛數(輛) - 汽車(不含軍車),機動車輛數(輛) - 機車,肇事總件數(件),肇事率(件/萬輛),A1類發生件數(件),A1類死亡人數(人),A1類受傷人數(人),A2類發生件數(件),A2類受傷人數(人),統計期_y,總計,大客車,大貨車,小客車,小客車-自用,小貨車,特種車,機車,機車-重型,機車-輕型
105年2月,21412810.0,7753495.0,13659315.0,23223.0,10.85,119.0,126.0,59.0,23104.0,30570.0,105年2月,21412776,33961,165607,6587236,6376645,904545,62146,13659281,11837494,1821787
105年3月,21408173.0,7756035.0,13652138.0,25592.0,11.95,123.0,129.0,93.0,25469.0,33201.0,105年3月,21408139,34093,165754,6588544,6378606,905438,62206,13652104,11858642,1793462
105年4月,21403332.0,7760026.0,13643306.0,24130.0,11.27,135.0,137.0,53.0,23995.0,32100.0,105年4月,21403332,34205,165833,6591440,6380968,906310,62238,13643306,11873357,1769949
105年5月,21415449.0,7769948.0,13645501.0,25755.0,12.03,121.0,124.0,45.0,25634.0,34138.0,105年5月,21415449,34272,166053,6599687,6388835,907602,62334,13645501,11901253,1744248
105年6月,21442437.0,7786122.0,13656315.0,26059.0,12.16,120.0,126.0,55.0,25939.0,34502.0,105年6月,21442437,34356,166238,6614340,6401811,908555,62633,13656315,11938864,1717451
105年7月,21450654.0,7801302.0,13649352.0,25424.0,11.85,124.0,127.0,42.0,25300.0,33552.0,105年7月,21450654,34329,166483,6628277,6414578,909327,62886,13649352,11961682,1687670
105年8月,21453054.0,7800339.0,13652715.0,23534.0,10.97,138.0,143.0,68.0,23396.0,31099.0,105年8月,21453054,34397,166487,6626956,6413976,909605,62894,13652715,11989494,1663221
105年9月,21489722.0,7810600.0,13679122.0,23777.0,11.07,109.0,113.0,54.0,23668.0,31195.0,105年9月,21489722,34486,166609,6635843,6422486,910488,63174,13679122,12041469,1637653
105年10月,21502605.0,7820374.0,13682231.0,25436.0,11.83,132.0,134.0,67.0,25304.0,33738.0,105年10月,21502605,34539,166740,6644843,6431643,910995,63257,13682231,12071643,1610588
105年11月,21512916.0,7832573.0,13680343.0,26048.0,12.11,137.0,140.0,76.0,25911.0,34609.0,105年11月,21512916,34501,166750,6656576,6443457,911367,63379,13680343,12094740,1585603
105年12月,21510650.0,7842423.0,13668227.0,29175.0,13.56,132.0,137.0,49.0,29043.0,38849.0,105年12月,21510650,34531,166943,6666006,6453083,911524,63419,13668227,12113455,1554772
106年1月,21526811.0,7857695.0,13669116.0,27595.0,12.82,112.0,118.0,54.0,27483.0,36454.0,106年1月,21526811,34503,166948,6681027,6466125,911840,63377,13669116,12131815,1537301
106年2月,21532149.0,7856677.0,13675472.0,22689.0,10.54,112.0,144.0,68.0,22577.0,30010.0,106年2月,21532149,34411,166919,6679850,6465623,912220,63277,13675472,12157344,1518128
106年3月,21553379.0,7865347.0,13688032.0,24911.0,11.56,106.0,110.0,52.0,24805.0,32920.0,106年3月,21553379,34408,167242,6687094,6473000,913303,63300,13688032,12193473,1494559
106年4月,21560786.0,7870102.0,13690684.0,22450.0,10.41,129.0,133.0,67.0,22321.0,29681.0,106年4月,21560786,34427,167427,6690752,6475503,914137,63359,13690684,12217401,1473283
106年5月,21585949.0,7880915.0,13705034.0,25058.0,11.62,107.0,113.0,53.0,24951.0,33392.0,106年5月,21585949,34488,167677,6699965,6483929,915126,63659,13705034,12251549,1453485
106年6月,21603845.0,7891883.0,13711962.0,24901.0,11.53,113.0,114.0,47.0,24788.0,32437.0,106年6月,21603845,34513,167955,6709579,6492246,915841,63995,13711962,12289133,1422829
106年7月,21614728.0,7903653.0,13711075.0,26381.0,12.21,126.0,133.0,73.0,26255.0,34876.0,106年7月,21614728,34525,168059,6720553,6501976,916252,64264,13711075,12322679,1388396
106年8月,21638897.0,7909284.0,13729613.0,24976.0,11.55,132.0,136.0,66.0,24844.0,33359.0,106年8月,21638897,34473,168084,6725613,6506220,916518,64596,13729613,12371863,1357750
106年9月,21670885.0,7917688.0,13753197.0,23665.0,10.93,121.0,127.0,92.0,23544.0,31416.0,106年9月,21670885,34389,167673,6733737,6513990,917347,64542,13753197,12421083,1332114
106年10月,21691050.0,7926821.0,13764229.0,23633.0,10.9,125.0,128.0,82.0,23508.0,31767.0,106年10月,21691050,34317,167383,6742572,6522593,918041,64508,13764229,12457178,1307051
106年11月,21708660.0,7939739.0,13768921.0,24865.0,11.46,111.0,116.0,40.0,24754.0,33158.0,106年11月,21708660,34221,167094,6755022,6534656,918743,64659,13768921,12493354,1275567
106年12月,21704365.0,7948783.0,13755582.0,25702.0,11.84,140.0,145.0,60.0,25562.0,33974.0,106年12月,21704365,34188,167088,6763422,6542685,919294,64791,13755582,12531519,1224063
107年1月,21725408.0,7961270.0,13764138.0,28307.0,13.04,127.0,128.0,52.0,28180.0,37176.0,107年1月,21725408,34066,166665,6776083,6554124,919834,64622,13764138,12556666,1207472
107年2月,21734189.0,7964827.0,13769362.0,22974.0,10.57,81.0,82.0,58.0,22893.0,30247.0,107年2月,21734189,34057,166521,6779466,6557020,920180,64603,13769362,12573316,1196046
107年3月,21746355.0,7970145.0,13776210.0,27327.0,12.57,117.0,121.0,62.0,27210.0,36428.0,107年3月,21746355,34081,166266,6784083,6561077,921136,64579,13776210,12600656,1175554
107年4月,21753382.0,7972738.0,13780644.0,24481.0,11.26,115.0,118.0,44.0,24366.0,32858.0,107年4月,21753382,34065,166154,6786324,6562719,921679,64516,13780644,12619563,1161081
107年5月,21769377.0,7980568.0,13788809.0,27208.0,12.5,111.0,113.0,35.0,27097.0,36816.0,107年5月,21769377,34057,166141,6793140,6569004,922604,64626,13788809,12644567,1144242
107年6月,21795010.0,7993240.0,13801770.0,26049.0,11.96,120.0,126.0,41.0,25929.0,34726.0,107年6月,21795010,33997,166183,6804823,6578869,923519,64718,13801770,12672390,1129380
107年7月,21806337.0,8004065.0,13802272.0,26009.0,11.93,116.0,119.0,55.0,25893.0,34727.0,107年7月,21806337,33961,166006,6815272,6588343,923812,65014,13802272,12694776,1107496
107年8月,21808992.0,8003351.0,13805641.0,25668.0,11.77,134.0,136.0,53.0,25534.0,33836.0,107年8月,21808992,33904,165667,6814537,6588082,923973,65270,13805641,12717018,1088623
107年9月,21836184.0,8010799.0,13825385.0,25523.0,11.7,132.0,136.0,62.0,25391.0,34145.0,107年9月,21836184,33845,165600,6820976,6593900,925157,65221,13825385,12752308,1073077
107年10月,21845697.0,8017366.0,13828331.0,27464.0,12.57,111.0,115.0,50.0,27353.0,37111.0,107年10月,21845697,33875,165356,6827292,6600111,925614,65229,13828331,12773536,1054795
107年11月,21859263.0,8026771.0,13832492.0,28138.0,12.88,143.0,144.0,67.0,27995.0,37734.0,107年11月,21859263,33868,164736,6836595,6608779,926286,65286,13832492,12792640,1039852
107年12月,21871240.0,8035720.0,13835520.0,31167.0,14.25,150.0,155.0,68.0,31017.0,41598.0,107年12月,21871240,33877,164661,6845711,6617429,926128,65343,13835520,12821767,1013753
108年1月,21887552.0,8044503.0,13843049.0,31826.0,14.55,199.0,205.0,67.0,31627.0,42251.0,108年1月,21887552,33859,164901,6853707,6624024,926843,65193,13843049,12841791,1001258
108年2月,21891285.0,8042165.0,13849120.0,24796.0,11.33,137.0,140.0,73.0,24659.0,33365.0,108年2月,21891285,33872,164982,6851210,6621548,926937,65164,13849120,12856874,992246
108年3月,21905808.0,8046128.0,13859680.0,27553.0,12.58,146.0,150.0,90.0,27407.0,36733.0,108年3月,21905808,33851,165225,6854477,6624252,927423,65152,13859680,12879933,979747
108年4月,21920883.0,8049326.0,13871557.0,27613.0,12.6,141.0,142.0,61.0,27472.0,36937.0,108年4月,21920883,33884,165602,6856436,6626351,928315,65089,13871557,12903813,967744
108年5月,21939999.0,8059287.0,13880712.0,27764.0,12.66,136.0,138.0,64.0,27628.0,36873.0,108年5月,21939999,33936,165903,6865266,6634089,929170,65012,13880712,12925156,955556
108年6月,21966182.0,8070280.0,13895902.0,27851.0,12.69,159.0,162.0,96.0,27692.0,36933.0,108年6月,21966182,33946,166022,6875047,6642726,930077,65188,13895902,12951354,944548
108年7月,21987755.0,8081375.0,13906380.0,28626.0,13.03,136.0,137.0,59.0,28490.0,37943.0,108年7月,21987755,33853,165440,6885792,6652895,930763,65527,13906380,12976799,929581
