,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
3511,109年02月10日 07時46分00秒,臺中市太平區太平里永豐路268之2號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);營業用-大貨車,120.705886,24.116983
3512,109年02月10日 13時00分00秒,高雄市大寮區濃公路 / 高雄市大寮區濃三街,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.413114,22.574253
3513,109年02月10日 13時55分00秒,高雄市杉林區桐竹路86號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.5327,22.95206
3514,109年02月10日 15時52分00秒,新北市土城區中央路3段 / 新北市土城區永寧路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.430514,24.964815
3515,109年02月10日 16時27分00秒,臺中市霧峰區吉峰里峰堤路前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,120.713886,24.07999
3516,109年02月10日 19時41分00秒,屏東縣萬丹鄉崙頂村萬順路二段(台88線P117橋墩旁),死亡1;受傷0,普通重型-機車,120.463795,22.586757
3517,109年02月11日 04時13分00秒,臺中市大肚區王田里沙田路一段364號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;自用-小貨車(含客、貨兩用),120.568376,24.121843
3518,109年02月11日 07時33分00秒,高雄市小港區沿海三路友成巷前0.0公尺,死亡1;受傷0,普通重型-機車,120.37336,22.536138
3519,109年02月11日 11時31分00秒,嘉義市東區新開里市宅街21巷25弄27號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.460348,23.472735
3520,109年02月11日 15時46分00秒,桃園市龜山區頂湖路123號前0.0公尺,死亡1;受傷0,普通重型-機車,121.365025,25.027631
3521,109年02月11日 16時40分00秒,桃園市觀音區大同一路19號前0.0公尺,死亡1;受傷0,普通輕型-機車,121.13029,25.047907
3522,109年02月11日 19時39分00秒,桃園市新屋區東興路2段780號前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,121.04965,25.004336
3523,109年02月12日 00時40分33秒,臺南市永康區中正南路口 / 臺南市永康區小北路,死亡1;受傷2,普通重型-機車;計程車-小客車;乘客-人,120.216256,23.022086
3524,109年02月12日 06時47分00秒,新北市汐止區大同路1段 / 新北市汐止區樟樹一路,死亡1;受傷0,普通重型-機車;自用-小客車,121.641586,25.062414
3525,109年02月12日 09時00分00秒,高雄市仁武區中正路 / 高雄市仁武區水管路3段,死亡1;受傷0,自用-曳引車;普通重型-機車,120.353623,22.705133
3526,109年02月12日 14時59分00秒,高雄市燕巢區安北路安招26電桿號前0.0公尺,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.350645,22.791981
3527,109年02月13日 07時03分00秒,臺南市安南區安吉路2段北側 / 臺南市安南區本原街2段,死亡1;受傷0,普通重型-機車;自用-小客車,120.190883,23.058191
3528,109年02月13日 07時10分00秒,屏東縣萬丹鄉萬安村和平西路7號附近,死亡1;受傷0,普通重型-機車;自用-曳引車;普通重型-機車,120.489331,22.58792
3529,109年02月13日 08時53分00秒,嘉義縣新港鄉月潭村媽祖大道與166線道口,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,120.355944,23.523263
3530,109年02月13日 12時17分00秒,臺中市后里區眉山里甲后路二段前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.684991,24.315208
3531,109年02月13日 21時56分00秒,高雄市鳳山區鳳頂路 / 高雄市鳳山區過埤路,死亡1;受傷4,營業用-曳引車;消防車-特種車;乘客-人;乘客-人;乘客-人;乘客-人,120.358787,22.590467
3532,109年02月14日 04時11分00秒,臺北市信義區忠孝東路5段297號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.573208,25.040984
3533,109年02月14日 10時29分32秒,桃園市中壢區忠義里中華路二段189巷口附近,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.239519,24.965301
3534,109年02月14日 15時10分00秒,桃園市大溪區介壽路896號前0.0公尺,死亡1;受傷2,普通重型-機車;自用-小貨車(含客、貨兩用);電動輔助自行車-慢車;自用-小客車;乘客-人,121.283838,24.90032
3535,109年02月14日 16時05分00秒,高雄市楠梓區清平街17號前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.338609,22.735928
3536,109年02月14日 18時02分00秒,彰化縣田尾鄉睦宜村斗中路92-1號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,120.550226,23.870618
3537,109年02月14日 18時55分00秒,彰化縣永靖鄉福興村福竹巷前0.0公尺,死亡1;受傷0,普通重型-機車,120.515577,23.929528
3538,109年02月15日 04時39分00秒,臺中市南屯區三義里黎明路二段前0.0公尺,死亡1;受傷4,計程車-小客車;普通重型-機車;乘客-人;乘客-人;乘客-人,120.6341,24.1582
3539,109年02月15日 09時40分00秒,新竹縣橫山鄉台3線 71公里800.0公尺處南側向內側,死亡1;受傷1,普通重型-機車;大型重型1(550C.C.以上)-機車,121.125485,24.725067
3540,109年02月15日 14時37分00秒,高雄市美濃區成功路 / 高雄市美濃區成功路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.5538,22.88563
3541,109年02月15日 16時35分00秒,臺中市龍井區忠和里向上路九段前0.0公尺,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.510923,24.229581
3542,109年02月15日 19時57分00秒,高雄市大寮區華中南路 / 高雄市大寮區無名路,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.428613,22.566091
3543,109年02月16日 02時56分00秒,臺中市大肚區社腳里沙田路一段710巷前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.556751,24.128175
3544,109年02月16日 08時04分31秒,臺南市安定區海寮里省道臺19線前0.0公尺,死亡1;受傷0,普通重型-機車,120.205043,23.108097
3545,109年02月17日 03時27分00秒,高雄市岡山區岡山北路186號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.2776,22.81389
3546,109年02月17日 06時05分00秒,臺中市東區干城里公園東路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-半聯結車,120.687567,24.141523
3547,109年02月17日 08時24分00秒,嘉義市西區西平里永春二街 / 嘉義市西區西平里高鐵大道,死亡1;受傷0,普通重型-機車;自用-小客車,120.426237,23.478666
3548,109年02月17日 15時28分00秒,彰化縣竹塘鄉民靖村竹林路2段237號前0.0公尺前,死亡1;受傷0,自用-大貨車;普通重型-機車;自用-小客車,120.405571,23.884739
