發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年11月15日 11時58分00秒,桃園市觀音區台61線 42公里100.0公尺處南側向外側,死亡1;受傷0,大型重型1(550C.C.以上)-機車;營業用-大貨車,121.104074,25.059461
110年11月15日 18時34分00秒,雲林縣西螺鎮公館里170號旁道路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車,120.455926,23.749546
110年11月15日 21時55分00秒,高雄市前鎮區中山四路 / 高雄市前鎮區鎮海路,死亡1;受傷0,普通重型-機車,120.318784,22.592747
110年11月15日 23時18分12秒,臺南市將軍區鯤鯓里區道南26線東側 / 臺南市將軍區鯤鯓里市道173甲線南側,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人,120.096994,23.191284
110年11月16日 08時34分00秒,澎湖縣馬公市縣201線 2公里600.0公尺處北側向內側,死亡1;受傷0,行人-人;自用-大貨車,119.601095,23.531358
110年11月16日 09時08分00秒,苗栗縣銅鑼鄉新隆村苗119線29.3公里處,死亡1;受傷0,自用-大貨車;普通重型-機車,120.79571,24.41313
110年11月16日 15時48分00秒,彰化縣芬園鄉中崙村大彰路2段431號前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,120.619906,23.979103
110年11月16日 22時12分00秒,彰化縣員林市大明里員集路1段350號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,120.574447,23.952531
110年11月17日 00時42分20秒,臺中市西屯區國道1號 176公里北側向外側,死亡1;受傷1,營業用-全聯結車;營業用-全聯結車;自用-小貨車(含客、貨兩用);營業用-半聯結車,120.636473,24.186283
110年11月17日 07時04分38秒,桃園市平鎮區平德路16號前0.0公尺,死亡1;受傷1,行人-人;大型重型2(250-550C.C.)-機車,121.191936,24.926479
110年11月17日 08時50分00秒,臺中市清水區中社里港埠路三段 / 臺中市清水區中社里中社路,死亡1;受傷0,營業用-半聯結車;電動自行車-慢車,120.547063,24.275497
110年11月17日 19時05分00秒,雲林縣西螺鎮國道1號 231公里200.0公尺處南側向中線,死亡1;受傷3,自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;乘客-人,120.474831,23.780285
110年11月17日 21時36分00秒,新北市中和區環河西路3段 / 新北市中和區光環路2段,死亡1;受傷2,自用-小客車;大型重型2(250-550C.C.)-機車;乘客-人,121.489844,25.009949
110年11月18日 02時03分00秒,新北市淡水區淡金路3段196號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,121.448981,25.203557
110年11月18日 02時45分35秒,新竹縣新豐鄉瑞興村崁頭7之3號附近,死亡1;受傷0,普通重型-機車,120.989482,24.909328
110年11月18日 08時32分00秒,彰化縣鹿港鎮海埔里鹿草路2段 / 彰化縣鹿港鎮海埔里鹿草路2段,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.436242,24.07584
110年11月18日 10時44分00秒,新北市三重區國道1號 26公里900.0公尺處南側向交流道,死亡1;受傷0,營業用-半聯結車,121.486154,25.074055
110年11月18日 11時31分00秒,高雄市旗山區旗甲路2段 / 高雄市旗山區旗甲路2段,死亡1;受傷0,普通重型-機車,120.494967,22.91717
110年11月18日 11時45分00秒,桃園市桃園區三民路二段附近 / 桃園市桃園區春日路口,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.314144,25.000922
110年11月18日 14時09分00秒,屏東縣新園鄉港墘路3之390號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.473054,22.540276
110年11月18日 14時16分02秒,屏東縣枋山鄉台1線 454.9公里,死亡1;受傷2,自用-小客車;大型重型1(550C.C.以上)-機車;乘客-人,120.663695,22.243871
110年11月18日 17時00分00秒,臺北市內湖區國道1號 17公里700.0公尺處北側向內側,死亡2;受傷2,自用-大貨車;營業用-半聯結車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人,121.58923,25.065516
110年11月18日 18時16分00秒,臺中市東區東興里台中路403-7號前0.0公尺,死亡1;受傷1,行人-人;大型重型2(250-550C.C.)-機車,120.684801,24.12316
110年11月18日 20時35分00秒,臺中市梧棲區草湳里自立一街62號前0.0公尺,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.528921,24.23712
110年11月19日 00時12分35秒,苗栗縣銅鑼鄉苗128線、台13線口,死亡2;受傷0,普通重型-機車;營業用-曳引車;乘客-人,120.781379,24.49408
110年11月19日 07時02分00秒,高雄市岡山區聖森路竹圍103路燈號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.311913,22.800652
110年11月19日 08時50分17秒,苗栗縣造橋鄉國道3號 121公里100.0公尺處北側向路肩,死亡1;受傷1,自用-小客車;乘客-人,120.832874,24.650794
110年11月19日 10時36分43秒,新竹縣竹北市博愛南路南側 / 新竹縣竹北市興隆路1段東側,死亡1;受傷0,動力機械-其他車;腳踏自行車-慢車,121.000387,24.824275
110年11月19日 12時23分11秒,新竹市香山區西濱快速道路口 / 新竹市香山區美山路口,死亡1;受傷1,自用-半聯結車;營業用-半聯結車,120.914705,24.77889
110年11月19日 16時00分00秒,彰化縣秀水鄉金興村正興路 / 彰化縣秀水鄉金興村正興路,死亡1;受傷0,普通重型-機車,120.523064,24.019391
110年11月19日 21時09分21秒,苗栗縣竹南鎮大山里苗八線與苗九線路口,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人,120.805559,24.641492
110年11月20日 01時40分20秒,宜蘭縣壯圍鄉191縣道路口 / 宜蘭縣壯圍鄉192縣道路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.778849,24.772831
110年11月20日 05時17分00秒,雲林縣西螺鎮振興里臺1線與市場南路口(南往北方向),死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車;乘客-人,120.474604,23.782958
110年11月20日 06時24分00秒,南投縣南投市彰南路二段338號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;普通重型-機車,120.680263,23.914703
110年11月20日 08時50分00秒,臺中市潭子區東寶里雅潭路二段 / 臺中市潭子區東寶里大富路二段,死亡1;受傷3,自用-小客車;計程車-小客車;普通重型-機車;普通重型-機車;其他人-人,120.684566,24.216328
110年11月20日 09時43分00秒,桃園市大園區青昇路一段25號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.22379,25.014395
110年11月20日 12時57分32秒,宜蘭縣南澳鄉河堤道路鐵路橋下,死亡1;受傷2,自用-小貨車(含客、貨兩用);乘客-人;乘客-人,121.786748,24.46233
110年11月20日 18時47分00秒,彰化縣鹿港鎮東石里媽祖路前0.0公尺,死亡1;受傷0,電動自行車-慢車;自用-小客車,120.410445,24.061723
110年11月20日 22時19分00秒,臺北市文山區新光路1段 / 臺北市文山區萬壽橋,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.573548,24.991674
110年11月21日 00時00分00秒,高雄市左營區自由二路467號前0.0公尺前,死亡1;受傷0,行人-人;自用-小客車,120.309088,22.666752
110年11月21日 05時00分00秒,彰化縣埔鹽鄉崑崙村彰水路1段141號前0.0公尺前,死亡1;受傷0,自用-小客車,120.483383,23.966799
110年11月21日 05時17分00秒,桃園市龍潭區福龍路3段附近 / 桃園市龍潭區福龍路3段附近,死亡1;受傷0,普通重型-機車,121.219089,24.878978
110年11月21日 08時50分00秒,嘉義縣中埔鄉義仁村潭情路與田寮路口,死亡1;受傷0,自用-小客車;大型重型2(250-550C.C.)-機車,120.511726,23.446495
110年11月21日 12時30分21秒,宜蘭縣三星鄉台7丙線 19公里東側向內側,死亡1;受傷3,普通重型-機車;自用-小客車;乘客-人;乘客-人,121.703401,24.668285
110年11月21日 16時55分00秒,基隆市中山區中山二路123號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.73815,25.143363
110年11月21日 17時54分00秒,高雄市大寮區鳳屏一路 / 高雄市大寮區鳳屏一路,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人,120.387826,22.633108
110年11月21日 18時00分42秒,宜蘭縣壯圍鄉壯濱路5段310號前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車;大型重型2(250-550C.C.)-機車,121.814835,24.78985
110年11月22日 05時42分00秒,新北市板橋區新北市板橋區環河西路往土城方向P125柱,死亡1;受傷0,普通重型-機車,121.48754,25.014051
110年11月22日 11時56分54秒,南投縣南投市南崗二路口 / 南投縣南投市平山二路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);大型重型2(250-550C.C.)-機車;自用-小貨車(含客、貨兩用),120.674035,23.920575
110年11月22日 17時34分00秒,宜蘭縣礁溪鄉踏踏六路79前,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,121.78256,24.786091
110年11月22日 20時44分00秒,基隆市仁愛區南榮路485號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,121.741748,25.113857
110年11月23日 06時10分54秒,雲林縣斗六市大學路一段口 / 雲林縣斗六市中華路,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.556151,23.70815
110年11月23日 07時22分00秒,苗栗縣頭屋鄉獅潭村苗126線13公里處路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.844538,24.595179
110年11月23日 11時33分38秒,宜蘭縣宜蘭市中山路5段口 / 宜蘭縣宜蘭市中山路5段口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.759452,24.779156
110年11月23日 14時27分32秒,臺南市東山區高原里區道南104線口 / 臺南市東山區高原里區道南104-2線口,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用),120.477636,23.283753
110年11月23日 14時50分00秒,嘉義縣中埔鄉和睦村中華路848號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.459416,23.449582
110年11月23日 21時46分35秒,苗栗縣竹南鎮崎頂里台61線側車道87公里處附近,死亡1;受傷0,普通重型-機車,120.869975,24.724431
110年11月24日 05時49分00秒,雲林縣麥寮鄉瓦磘村156線阿勸排水橋下,死亡1;受傷0,普通重型-機車,120.276148,23.754731
110年11月24日 09時50分00秒,臺北市大同區承德路2段 / 臺北市大同區平陽街,死亡1;受傷0,普通重型-機車;營業用-小貨車(含客、貨兩用);民營客運-大客車,121.518127,25.05477
110年11月24日 11時38分25秒,桃園市八德區中華路口 / 桃園市八德區永豐路口,死亡1;受傷0,營業用-全聯結車;普通重型-機車,121.269934,24.977477
110年11月24日 15時18分00秒,彰化縣芬園鄉舊社村大彰路5段前0.0公尺,死亡1;受傷0,普通重型-機車,120.595132,24.028466
110年11月24日 17時18分54秒,花蓮縣花蓮市南濱路口 / 花蓮縣花蓮市明義街口,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),121.610936,23.969425
110年11月24日 17時43分55秒,臺南市官田區二鎮里工業路23之1號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.322959,23.210539
110年11月25日 01時10分47秒,苗栗縣竹南鎮公館里中港溪旁產業道路00006路燈桿旁,死亡1;受傷0,電動自行車-慢車,120.871426,24.658542
110年11月25日 05時35分00秒,臺東縣臺東市台11線 164.2公里,死亡1;受傷1,普通重型-機車;乘客-人,121.152644,22.745919
110年11月25日 06時43分36秒,桃園市大園區大園交流道出口(往埔心),死亡1;受傷4,營業用-曳引車;自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人,121.242448,25.033045
110年11月25日 08時20分00秒,新北市三峽區新北市三峽區介壽路3段電桿(編號187573),死亡1;受傷0,普通重型-機車,121.397963,24.941679
110年11月25日 08時50分00秒,新北市板橋區仁化街 / 新北市板橋區文聖街,死亡1;受傷0,民營客運-大客車;行人-人,121.476742,25.032206
110年11月25日 17時47分00秒,新竹市北區天府路一段190053號燈桿,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.941618,24.835096
110年11月25日 19時10分00秒,嘉義縣梅山鄉太平村162甲線9公里200公尺處,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人,120.589938,23.562721
110年11月25日 20時39分00秒,新竹縣新豐鄉永寧街(竹5線5.5公里),死亡1;受傷0,普通重型-機車;租賃車-小客車,120.980289,24.898566
110年11月25日 22時10分00秒,臺中市太平區新吉里中山路三段 / 臺中市太平區新吉里中山路三段,死亡1;受傷0,自用-小客車;普通重型-機車,120.722033,24.149278
110年11月26日 05時58分00秒,臺中市東勢區泰昌里東崎路五段 / 臺中市東勢區泰昌里中泰街,死亡1;受傷0,自用-小客車;行人-人,120.835266,24.251244
110年11月26日 06時23分19秒,桃園市大溪區員林路三段45號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.264529,24.881315
110年11月26日 07時28分00秒,臺北市松山區復興北路 / 臺北市松山區復興北路,死亡1;受傷1,自用-小客車;腳踏自行車-慢車;乘客-人,121.544331,25.059051
110年11月26日 12時36分54秒,南投縣水里鄉福和路59-1號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.891717,23.790393
110年11月26日 18時01分00秒,新竹縣竹北市博愛街816巷(E0197GE61)電桿處,死亡1;受傷1,普通重型-機車;乘客-人,121.022564,24.846186
110年11月27日 00時59分19秒,南投縣名間鄉南雲路9-8號,死亡1;受傷1,自用-小客車;乘客-人,120.704882,23.827113
110年11月27日 03時15分00秒,新北市林口區文化北路 / 新北市林口區八德路,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,121.361165,25.073423
110年11月27日 03時40分00秒,新北市三重區新北市三重區國道路一段與力行路2段30巷46弄,死亡1;受傷1,普通重型-機車;行人-人;自用-小客車,121.479751,25.072592
110年11月27日 13時40分00秒,新竹縣竹東鎮自強路附近 / 新竹縣竹東鎮長春路3段口,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,121.083394,24.746402
110年11月27日 15時59分00秒,新北市汐止區康寧街 / 新北市汐止區翠峰街,死亡1;受傷1,自用-小客車;乘客-人,121.63824,25.073213
110年11月28日 02時50分00秒,臺南市東區大同路1段口 / 臺南市東區樹林街1段口,死亡1;受傷1,行人-人;普通重型-機車,120.211296,22.986469
110年11月28日 04時55分14秒,花蓮縣新城鄉新城村北三棧北側 / 花蓮縣新城鄉新城村北三棧西側,死亡1;受傷0,行人-人;營業用-大貨車,121.620846,24.106868
110年11月28日 06時07分08秒,南投縣竹山鎮秀林里頂林路452號前,死亡1;受傷0,自用-小客車,120.688406,23.734241
110年11月28日 08時24分00秒,彰化縣溪州鄉溪厝村中央路3段 / 彰化縣溪州鄉溪厝村廣東巷,死亡1;受傷0,自用-小客車;普通重型-機車,120.494933,23.841014
110年11月28日 09時30分00秒,彰化縣埤頭鄉大湖村彰水路2段732號前0.0公尺前,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.458841,23.875361
110年11月28日 11時40分00秒,臺北市萬華區萬大路 / 臺北市萬華區艋舺大道,死亡1;受傷0,普通重型-機車,121.50069,25.033189
110年11月28日 16時22分00秒,澎湖縣白沙鄉縣203線 20公里200.0公尺處東側向外側,死亡1;受傷1,普通重型-機車;乘客-人,119.559354,23.660956
110年11月28日 16時56分33秒,宜蘭縣宜蘭市蘭陽大橋北端路燈編號073號,死亡1;受傷0,普通重型-機車;自用-小客車,121.770144,24.718598
110年11月28日 21時17分00秒,屏東縣佳冬鄉台17線 265公里200.0公尺處南側,死亡1;受傷0,自用-小客車;其他人-人,120.529622,22.427027
110年11月29日 10時18分17秒,新竹市香山區西濱快速道路與美山路口側車道北上79K-C.008號電桿前,死亡1;受傷0,普通重型-機車;自用-大貨車,120.914787,24.77841
110年11月29日 11時29分00秒,花蓮縣壽豐鄉台11丙線 4公里800.0公尺處北側向機、慢車道,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.556035,23.896474
110年11月29日 16時19分00秒,桃園市龜山區文化一路附近 / 桃園市龜山區龜山一路附近,死亡1;受傷0,自用-大貨車;普通重型-機車,121.368898,25.064102
110年11月29日 17時22分00秒,臺中市清水區槺榔里八德路二段 / 臺中市清水區槺榔里大勇路,死亡1;受傷0,自用-大貨車;普通重型-機車,120.534766,24.26856
110年11月29日 17時36分00秒,臺中市沙鹿區西勢里中清路七段前0.0公尺,死亡1;受傷0,普通輕型-機車,120.587907,24.251181
110年11月30日 05時46分00秒,高雄市岡山區潭底路 / 高雄市岡山區嘉峰路,死亡1;受傷0,普通重型-機車,120.310077,22.826165
110年11月30日 17時13分00秒,桃園市龜山區文化一路口 / 桃園市龜山區文學路口,死亡1;受傷1,普通重型-機車;普通重型-機車,121.385393,25.042081
110年11月30日 18時38分00秒,彰化縣溪湖鎮湖西里大公路 / 彰化縣溪湖鎮湖西里大公五街,死亡1;受傷0,自用-小客車;普通重型-機車,120.526749,23.950544
110年11月30日 19時55分52秒,苗栗縣西湖鄉二湖村公館8號附近(燈桿編號1270),死亡1;受傷0,營業用-曳引車,120.746528,24.574881
110年12月01日 15時30分00秒,苗栗縣南庄鄉泰安聯絡道路2.2公里處,死亡1;受傷0,自用-小客車;普通重型-機車,120.957536,24.516401
110年12月01日 15時58分00秒,臺中市西屯區港尾里環中路一段前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.656996,24.200516
110年12月01日 17時44分00秒,雲林縣土庫鎮東平里雲101公路191817燈桿前,死亡1;受傷0,普通重型-機車,120.365552,23.72204
110年12月01日 19時12分00秒,桃園市大園區桃園國際機場航翔路103號旁建築基地(大園區貨運段7地號)前防汛道路,死亡1;受傷0,動力機械-其他車;普通重型-機車,121.251439,25.096587
110年12月02日 09時51分00秒,新北市新店區北宜路1段57號前0.0公尺,死亡1;受傷0,自用-大貨車;行人-人,121.538509,24.956695
110年12月02日 11時00分00秒,新北市板橋區環河西路4段前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.48754,25.014051
110年12月02日 15時31分00秒,臺中市北屯區廍子里祥順東路二段 / 臺中市北屯區廍子里軍福十三路,死亡1;受傷0,自用-大貨車;普通重型-機車,120.729486,24.171268
110年12月03日 00時27分28秒,桃園市中壢區中豐北路二段0119718路燈,死亡2;受傷0,普通重型-機車;乘客-人,121.207792,24.989385
110年12月03日 07時42分00秒,臺北市士林區福德路 / 臺北市士林區基河路,死亡1;受傷0,自用-小客車;普通重型-機車,121.521062,25.091993
110年12月03日 07時51分00秒,彰化縣伸港鄉台61線 165公里500.0公尺處南側向外側,死亡1;受傷0,普通重型-機車;自用-曳引車,120.48624,24.159207
110年12月03日 08時17分00秒,新北市新店區北宜路1段 / 新北市新店區中興路,死亡1;受傷0,自用-小客車;普通重型-機車,121.542779,24.953206
110年12月03日 08時47分32秒,新竹縣湖口鄉榮光路口 / 新竹縣湖口鄉三民南路口,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.997199,24.86615
110年12月03日 10時29分00秒,高雄市林園區鳳林路2段 / 高雄市林園區林園北路,死亡1;受傷0,自用-小客車;普通重型-機車,120.395382,22.515186
110年12月03日 11時37分22秒,桃園市蘆竹區長安路二段口 / 桃園市蘆竹區南山路二段口,死亡1;受傷0,自用-小客車;普通重型-機車,121.285109,25.063674
110年12月03日 16時35分00秒,桃園市大園區大竹南路口 / 桃園市大園區大竹南路口,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人;乘客-人,121.229843,25.042743
110年12月03日 18時00分00秒,臺南市七股區樹林里南37-1線公路0.3公里處,死亡1;受傷0,自用-小客車;行人-人,120.157781,23.113112
110年12月03日 21時42分00秒,雲林縣古坑鄉中山路與(福德宮)產業道路口,死亡1;受傷1,自用-小客車;普通重型-機車,120.558751,23.665928
110年12月03日 22時15分00秒,臺東縣長濱鄉台30線 32公里,死亡1;受傷0,普通重型-機車,121.38599,23.264229
110年12月03日 22時42分19秒,桃園市中壢區民權路三段1416號前0.0公尺,死亡1;受傷3,普通重型-機車;行人-人;行人-人;普通重型-機車;乘客-人,121.206245,24.998335
110年12月04日 09時40分00秒,嘉義縣朴子市梅華里嘉36鄉道與無名村里道路(口),死亡1;受傷1,普通重型-機車;自用-小客車,120.260647,23.416647
110年12月04日 15時07分00秒,桃園市桃園區國際路二段口 / 桃園市桃園區大興西路三段口,死亡1;受傷0,電動自行車-慢車;營業用-小貨車(含客、貨兩用),121.286766,25.002228
110年12月05日 03時01分00秒,臺南市仁德區國道1號 330公里南側向交流道,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人,120.245476,22.943935
110年12月05日 05時45分00秒,臺中市大甲區庄美里大安港路223號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.611486,24.353305
110年12月05日 11時40分00秒,高雄市前鎮區一心一路 / 高雄市前鎮區凱旋三路,死亡1;受傷0,自用-小客車;行人-人,120.3242,22.60525
110年12月05日 16時38分00秒,高雄市三民區河堤路290號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,120.311968,22.660999
110年12月06日 03時44分29秒,臺南市官田區寮廍里台84快速道路東向19.9K處,死亡1;受傷0,營業用-半聯結車;自用-小貨車(含客、貨兩用),120.282649,23.184831
110年12月06日 10時30分20秒,花蓮縣吉安鄉吉安路2段西側 / 花蓮縣吉安鄉七腳川溪防汛道路南側,死亡1;受傷0,電動自行車-慢車;自用-小客車,121.569489,23.983179
110年12月06日 17時54分04秒,臺南市官田區烏山頭里市道165線口 / 臺南市官田區烏山頭里市道171線口,死亡1;受傷0,營業用-曳引車;電動自行車-慢車,120.350777,23.212362
110年12月07日 03時41分00秒,彰化縣福興鄉二港村福正路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.415414,24.053453
110年12月07日 04時23分00秒,臺中市龍井區三德里中華路二段373號前0.0公尺,死亡1;受傷0,普通重型-機車,120.538313,24.203259
110年12月07日 05時44分33秒,雲林縣西螺鎮振興里市場北路與廣興路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.46492,23.785241
110年12月07日 06時00分00秒,嘉義市東區仁義里新生路 / 嘉義市東區仁義里嘉北街,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;自用-小客車,120.456635,23.494158
110年12月07日 07時19分43秒,臺南市麻豆區埤頭里176線東向與國道1號南下匝道口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.233094,23.180986
110年12月07日 08時38分00秒,屏東縣鹽埔鄉維新路36之22號前,死亡1;受傷0,普通重型-機車;自用-大貨車,120.553558,22.735816
110年12月07日 10時25分00秒,屏東縣麟洛鄉長安巷與立功巷口前,死亡1;受傷0,普通重型-機車;營業用-小貨車(含客、貨兩用),120.526835,22.633962
110年12月07日 16時00分00秒,臺東縣成功鎮豐田路55號前,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.337106,23.049517
110年12月07日 16時19分00秒,臺中市大甲區孔門里育德路 / 臺中市大甲區孔門里新政路,死亡1;受傷0,自用-小客車;普通重型-機車,120.625213,24.348951
110年12月07日 18時05分06秒,雲林縣東勢鄉新坤村153縣道1.5公里附近,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.255948,23.728157
110年12月08日 09時49分52秒,新竹縣竹北市博愛街565號附近,死亡1;受傷1,普通重型-機車;普通重型-機車,121.01161,24.840539
110年12月08日 13時33分00秒,新北市林口區台61線道 / 新北市林口區東華路,死亡1;受傷1,營業用-大貨車;營業用-曳引車;自用-小客車,121.343132,25.101927
110年12月09日 00時45分00秒,臺北市中正區辛亥車行地下道前0.0公尺,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,121.527117,25.018622
110年12月09日 13時00分00秒,基隆市中山區文化路 / 基隆市中山區文明路,死亡1;受傷2,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,121.732279,25.154279
110年12月09日 13時10分00秒,高雄市仁武區澄仁西街 / 高雄市仁武區澄仁西街,死亡1;受傷0,普通重型-機車;自用-小客車,120.3422,22.67862
110年12月09日 15時04分51秒,屏東縣屏東市瑞光路1段口 / 屏東縣屏東市瑞光路1段口,死亡1;受傷0,腳踏自行車-慢車;營業用-小貨車(含客、貨兩用),120.515261,22.660188
110年12月09日 23時08分00秒,彰化縣和美鎮竹園里線東路5段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.516708,24.103162
110年12月10日 02時33分00秒,彰化縣溪湖鎮東溪里員鹿路1段104號前0.0公尺,死亡1;受傷0,營業用-大貨車;行人-人,120.510998,23.952762
110年12月10日 04時40分06秒,花蓮縣花蓮市國聯五路口 / 花蓮縣花蓮市國興一街口,死亡1;受傷0,普通重型-機車,121.604233,23.996015
110年12月10日 06時38分00秒,臺南市中西區南門路207號,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.20426,22.985091
110年12月10日 12時15分00秒,高雄市楠梓區藍昌路318號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車,120.291328,22.722463
110年12月10日 16時35分00秒,臺中市后里區眉山里安眉路116-1號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.705703,24.324013
110年12月10日 18時52分00秒,高雄市小港區沿海一路二苓44燈桿號前0.0公尺,死亡1;受傷1,行人-人;大型重型1(550C.C.以上)-機車,120.352919,22.565781
110年12月11日 01時23分30秒,苗栗縣通霄鎮台一線北上128K處,死亡1;受傷0,自用-小客車,120.695544,24.538519
110年12月11日 05時56分02秒,桃園市龜山區兔坑路8之1號前0.0公尺,死亡1;受傷0,租賃車-小客車;普通重型-機車,121.356634,24.99068
110年12月11日 06時50分00秒,臺中市霧峰區甲寅里中正路 / 臺中市霧峰區甲寅里德泰街,死亡1;受傷0,普通重型-機車;自用-小客車,120.699211,24.06853
110年12月11日 11時09分00秒,彰化縣芳苑鄉漢寶村芳漢路漢2段301巷前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.376442,24.01274
110年12月11日 13時50分00秒,屏東縣新園鄉興安路263號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.461493,22.530196
110年12月11日 15時18分00秒,嘉義縣義竹鄉岸腳村台19線97公里南向車道,死亡1;受傷0,普通重型-機車,120.255316,23.349179
110年12月12日 04時10分00秒,彰化縣福興鄉橋頭村彰鹿路7段 / 彰化縣福興鄉橋頭村文化街,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.441171,24.048787
110年12月12日 15時30分00秒,嘉義縣大埔鄉永樂村台三線313公里處,死亡1;受傷1,大型重型2(250-550C.C.)-機車;大型重型1(550C.C.以上)-機車,120.587233,23.357812
110年12月13日 07時30分00秒,雲林縣虎尾鎮建國里158公路拯民國小前路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.40643,23.710304
110年12月13日 22時23分21秒,苗栗縣造橋鄉國道1號 121公里300.0公尺處南側向外側,死亡1;受傷1,營業用-大貨車;營業用-大貨車,120.861374,24.597828
110年12月14日 16時07分00秒,臺南市仁德區仁義一街西側 / 臺南市仁德區中山路,死亡1;受傷0,普通重型-機車;計程車-小客車;自用-小貨車(含客、貨兩用);自用-小客車,120.253059,22.970414
110年12月14日 19時23分00秒,高雄市彌陀區光和北路光和288路燈號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.24289,22.78413
110年12月15日 11時12分00秒,桃園市中壢區龍慈路635巷168號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,121.243133,24.934694
110年12月15日 12時26分00秒,新北市瑞芳區新北市瑞芳區臺2線道路76.5k,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.842028,25.122113
110年12月15日 15時42分00秒,桃園市中壢區內厝里中正路四段口 / 桃園市中壢區內厝里中正路四段口,死亡1;受傷0,自用-小客車;行人-人,121.177223,24.990266
110年12月15日 17時04分08秒,桃園市平鎮區山線 68.0公里88.0公尺平鎮區德育路平交道,死亡1;受傷0,行人-人;火車-其他車,121.219457,24.94917
