發生時間,發生地點,死亡受傷人數,車種,經度,緯度
102年01月13日 19時30分,桃園縣大園鄉溪海村14鄰三界壇2之13號前(附近),死亡1;受傷0,自用-小客車;行人-人,,
102年01月14日 16時36分,彰化縣埔心鄉彰化縣埔心鄉舊館村員鹿路5段8-1號前,死亡1;受傷0,自用-大貨車;普通重型-機車,,
102年01月14日 22時00分,屏東縣屏東市崇蘭里廣東路1532號,死亡1;受傷0,行人-人;自用-小客車,,
102年01月15日 09時54分,宜蘭縣冬山鄉三中路三城路(口),死亡1;受傷0,自用-小貨車;普通重型-機車,,
102年01月15日 23時50分,臺南市新營區土庫里臺1線288公里100公尺處南向外側車道,死亡1;受傷0,自用-小客車;自用-大貨車,,
102年01月16日 07時15分,宜蘭縣宜蘭市七張路9號,死亡1;受傷0,普通重型-機車;自用-小客車,,
102年01月16日 07時40分,臺中市豐原區豐原大道一段770巷豐原大道(口),死亡1;受傷0,普通重型-機車;營業用-大貨車,,
102年01月16日 12時21分,臺中市神岡區三民南路神岡路(口),死亡1;受傷1,救護車-特種車;普通重型-機車;普通重型-機車,,
102年01月16日 17時59分,臺南市下營區開化里中營275號前(附近),死亡1;受傷0,自用-小貨車;腳踏自行車-慢車,,
102年01月16日 18時20分,花蓮縣瑞穗鄉特一號道路近七賢路口(附近)台9線270公里0公尺處南向外側車道,死亡1;受傷0,營業用-曳引車;普通重型-機車,,
102年01月17日 04時23分,苗栗縣苗栗市經國路南下車道靠近經國路與中正路口200公尺處(附近),死亡1;受傷0,普通輕型-機車,,
102年01月17日 05時13分,新北市五股區成泰路三段17號前0.0公尺數,死亡1;受傷0,普通重型-機車;自用-小客車;普通輕型-機車;自用-小客車,,
102年01月17日 06時13分,桃園縣平鎮市平安里中豐路南勢二段96-1號,死亡1;受傷0,行人-人;自用-小客車,,
102年01月17日 10時25分,臺南市柳營區神農里165線27公里600公尺處北向內側車道,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車,,
102年01月17日 15時50分,高雄市燕巢區滾水路海峰路口以南20公公尺處,死亡1;受傷0,普通重型-機車;自用-小客車,,
102年01月17日 21時14分,桃園縣中壢市三光路中壢高中旁第012號停車格(附近),死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,,
102年01月17日 23時35分,臺南市北區長榮路五段401巷和緯路(口),死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車,,
102年01月18日 13時10分,臺南市佳里區興化里臺19線121公里300公尺處南向路口車道,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;行人-人,,
102年01月18日 15時39分,雲林縣林內鄉重興(東興橋前)(附近),死亡1;受傷0,普通重型-機車;拼裝車-其他車,,
102年01月19日 05時30分,高雄市美濃區五福街59號前,死亡1;受傷0,自用-小客車;行人-人,,
102年01月19日 06時15分,嘉義縣六腳鄉豐美村台19線74公里600公尺處南向內側車道,死亡1;受傷0,電動輔助自行車-慢車;自用-小客車;自用-小貨車,,
102年01月19日 10時31分,彰化縣線西鄉彰化縣線西鄉沿海路1段728巷與中正路口,死亡1;受傷0,普通輕型-機車;自用-小貨車,,
102年01月19日 13時20分,高雄市仁武區澄觀路一段新庄巷口,死亡1;受傷1,普通重型-機車;普通重型-機車,,
102年01月19日 14時40分,臺南市關廟區埤頭里保東路與保東ㄧ街口(附近),死亡1;受傷0,普通輕型-機車;自用-小客車,,
102年01月19日 17時05分,新竹縣關西鎮台三線青山街口(附近),死亡1;受傷0,自用-小客車;普通輕型-機車,,
102年01月19日 22時38分,臺中市太平區長龍路二段253號前對面車道公尺數,死亡1;受傷1,普通重型-機車;普通重型-機車,,
102年01月20日 12時30分,高雄市彌陀區山霸煙路100號前,死亡1;受傷0,自用-小貨車;普通重型-機車,,
102年01月20日 13時40分,屏東縣萬丹鄉田厝村萬順路與聖賢路口(附近),死亡1;受傷0,自用-小貨車;普通重型-機車,,
102年01月20日 15時53分,嘉義縣東石鄉157線43.92公里處橋墩(附近),死亡2;受傷1,自用-小客車;自用-小貨車;腳踏自行車-慢車;自用-小貨車,,
102年01月20日 18時00分,高雄市杉林區司馬路45巷口,死亡1;受傷2,自用-小客車;普通輕型-機車;自用-小客車,,
102年01月21日 07時30分,彰化縣彰化市彰化縣彰化市寶山路與龍鳳谷登山步道口旁,死亡1;受傷0,普通重型-機車;營業用-曳引車,,
102年01月21日 15時50分,新竹縣尖石鄉嘉樂村7鄰往石上湯屋約200公尺處(附近),死亡1;受傷0,自用-小貨車,,
102年01月21日 22時30分,臺南市新化區知義里中興路(口)(尖峰高幹69電桿)東側20公尺處(附近)南168線1公里900公尺處東向內側車道,死亡1;受傷1,普通重型-機車;拼裝車-其他車,,
102年01月22日 00時54分,桃園縣龜山鄉自強西路202號(S10201239－－龜山派出所)(附近),死亡1;受傷1,普通重型-機車;行人-人,,
102年01月22日 07時12分,新竹縣湖口鄉中山路三段489號,死亡1;受傷0,自用-小客車;普通重型-機車,,
102年01月22日 12時30分,臺南市北區大興街166之3號,死亡1;受傷0,自用-小貨車;普通輕型-機車,,
102年01月23日 17時15分,高雄市甲仙區復興路忠孝路口,死亡1;受傷0,普通重型-機車;自用-大貨車,,
102年01月23日 22時30分,苗栗縣西湖鄉二湖村台1線120公里200公尺處南向外側車道,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車,,
102年01月24日 00時20分,高雄市岡山區嘉峰路600巷口以北100公尺處,死亡1;受傷0,普通重型-機車,,
102年01月24日 04時55分,桃園縣觀音鄉廣福村福山路二段分塔線樑43號前(桃35-1線)(附近),死亡1;受傷0,普通重型-機車,,
102年01月24日 05時30分,桃園縣龍潭鄉黃塘村成功路377巷(中興所)(附近),死亡1;受傷0,普通重型-機車,,
102年01月24日 10時45分,高雄市鼓山區翠華路267號前,死亡1;受傷0,行人-人;自用-大貨車,,
102年01月24日 11時36分,臺北市信義區信義路5段松德路(口)信義路5段 松德路,死亡1;受傷0,民營公車-大客車;普通重型-機車,,
102年01月24日 21時00分,新竹縣新埔鎮文山路犁與文華路口(文山路犁頭山段26號附近)(往竹北方向)(附近),死亡1;受傷0,自用-小客車;自用-小客車,,
102年01月24日 22時50分,桃園縣桃園市西埔里富國路822巷148號M10201631埔子所(附近),死亡1;受傷0,普通重型-機車,,
102年01月25日 09時00分,桃園縣觀音鄉富林村工業七路9號,死亡1;受傷0,自用-大貨車;普通重型-機車,,
102年01月25日 09時35分,彰化縣二林鎮彰化縣二林鎮儒林路2-3號,死亡1;受傷0,普通重型-機車;自用-小客車,,
102年01月25日 12時35分,屏東縣獅子鄉丹路村台9線468公里000公尺處東向外側車道,死亡1;受傷0,營業用-曳引車,,
102年01月25日 13時20分,嘉義縣番路鄉江西村159甲線7公里300公尺處西向中外車道,死亡1;受傷1,普通重型-機車;普通重型-機車,,
102年01月25日 22時30分,彰化縣芬園鄉彰化縣芬園鄉彰南路3段2號(芬園分駐所),死亡1;受傷0,普通重型-機車,,
102年01月26日 06時35分,彰化縣彰化市彰化縣彰化市中山路1段秀傳醫院前(民族所),死亡1;受傷1,普通重型-機車;行人-人,,
102年01月26日 08時05分,新北市土城區裕民路259巷前0.0公尺數口(附近),死亡1;受傷0,普通重型-機車;營業用-曳引車,,
102年01月26日 08時15分,彰化縣彰化市國道三號197公里100公尺處北向內側路肩車道,死亡1;受傷1,自用-小貨車;自用-小貨車,,
102年01月26日 19時45分,彰化縣彰化市彰化縣彰化市自強南路自強南路288巷口(中正所),死亡1;受傷0,自用-小客車;行人-人;自用-小客車,,
102年01月26日 20時30分,桃園縣新屋鄉大坡村東福路一段572號(桃104線6.4公里)(附近),死亡1;受傷0,自用-小客車,,
102年01月26日 21時00分,彰化縣埔心鄉彰化縣埔心鄉東門村員鹿路2段111號前,死亡1;受傷1,營業用-小貨車;普通重型-機車;自用-小客車,,
102年01月26日 23時36分,雲林縣林內鄉烏塗村瑞和101號(林內09-134號路燈旁)(附近)154線40公里100公尺處東向補助車道,死亡2;受傷1,自用-小客車;自用-小客車;自用-小客車,,
102年01月27日 00時45分,彰化縣和美鎮彰化縣和美鎮鹿和路5段49號前,死亡1;受傷0,自用-小客車;自用-小客車;行人-人,,
102年01月27日 07時20分,新北市中和區中正路前0.0公尺數連城路(口),死亡1;受傷0,自用-小客車;行人-人,,
102年01月27日 08時00分,臺北市中山區南京東路建國北路(口)南京東路 建國北路,死亡1;受傷0,計程車-小客車;普通重型-機車,,
102年01月27日 10時20分,高雄市楠梓區開發路經二路(口),死亡1;受傷1,計程車-小客車;普通重型-機車;普通重型-機車,,
102年01月28日 06時10分,苗栗縣頭屋鄉中山街50巷,死亡1;受傷0,普通重型-機車,,
102年01月28日 11時14分,苗栗縣銅鑼鄉中正路19-20號,死亡1;受傷0,行人-人;自用-小客車,,
102年01月28日 13時35分,臺南市東山區三榮里木柵57-7號前(附近),死亡1;受傷0,普通輕型-機車,,
102年01月28日 14時20分,雲林縣斗南鎮明昌里明昌路與中昌路口(斗南所)(附近),死亡1;受傷0,普通重型-機車;自用-大貨車,,
102年01月28日 18時54分,南投縣草屯鎮中正路權郎巷台3線201公里00公尺處南向外側車道,死亡1;受傷0,普通重型-機車;自用-小客車,,
102年01月28日 20時50分,臺中市梧棲區自立二街路燈33G3863HB30號前(附近),死亡1;受傷0,普通重型-機車,,
102年01月29日 08時50分,臺中市沙鹿區臺灣大道六段339號(附近),死亡1;受傷0,普通重型-機車,,
102年01月29日 09時32分,雲林縣麥寮鄉麥津里泰順與平和路口(附近),死亡1;受傷0,普通重型-機車;自用-小貨車,,
102年01月29日 17時33分,嘉義縣水上鄉粗溪村台1線273公里500公尺處南向中線車道,死亡1;受傷1,自用-小客車;普通重型-機車,,
102年01月29日 17時34分,嘉義縣水上鄉龍德村144號台1線275公里500公尺處南向外側車道,死亡1;受傷1,自用-小客車;自用-小客車;行人-人,,
102年01月29日 21時44分,臺北市中山區林森北路50號,死亡1;受傷0,自用-小客車;普通輕型-機車;民營客運-大客車,,
102年01月30日 02時52分,臺中市北區健行路962號,死亡1;受傷0,自用-小客車;自用-小客車,,
102年01月30日 04時00分,高雄市苓雅區建國一路高速公路東側道路口,死亡1;受傷0,普通重型-機車;自用-小客車,,
102年01月30日 07時30分,臺南市安南區安和路四段與總安街口(附近),死亡1;受傷0,營業用-曳引車;行人-人,,
102年01月30日 07時36分,臺中市大安區東西四路100號,死亡1;受傷0,普通輕型-機車;自用-小客車,,
102年01月30日 10時37分,宜蘭縣頭城鎮青雲路三段台2線134公里600公尺處南向內側車道,死亡1;受傷1,普通重型-機車;營業用-曳引車;普通重型-機車,,
102年01月30日 12時35分,雲林縣林內鄉烏塗村和興15公尺處(電桿水門18之8號前)(附近),死亡1;受傷0,拼裝車-其他車;普通重型-機車,,
102年01月30日 13時21分,新北市汐止區大同路609號前0.0公尺數對向(往基隆方向(附近),死亡1;受傷0,營業用-半聯結車;普通重型-機車;自用-小客車,,
102年01月30日 15時39分,雲林縣褒忠鄉埔姜村太湖路11號前(附近),死亡1;受傷0,普通重型-機車,,
102年01月30日 16時26分,臺中市霧峰區中正路四德路(口),死亡1;受傷0,營業用-大貨車;行人-人,,
102年01月30日 17時35分,高雄市三民區十全一路山東街口,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車,,
102年01月30日 18時30分,臺東縣關山鎮台9線333公里700公尺處北向中線車道,死亡1;受傷0,普通輕型-機車;自用-小貨車,,
102年01月30日 20時30分,高雄市大寮區興隆路三隆路口,死亡1;受傷1,自用-小貨車;自用-小貨車,,
102年01月31日 02時25分,彰化縣秀水鄉國道一號204公里900公尺處北向外側車道,死亡1;受傷0,營業用-大貨車;營業用-大貨車,,
102年01月31日 07時35分,桃園縣大園鄉圳頭村9鄰25之4號古亭(附近),死亡1;受傷1,普通重型-機車;普通重型-機車,,
102年01月31日 08時00分,彰化縣秀水鄉彰化縣秀水鄉安東村中山路258號,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車;自用-小客車,,
102年01月31日 21時55分,苗栗縣造橋鄉龍昇村台1線107公里500公尺處南向外側車道,死亡1;受傷0,自用-小客車,,
102年02月01日 02時17分,桃園縣平鎮市新貴里台66線路西向21.1公里處(附近)台66線21公里100公尺處西向外側車道,死亡1;受傷0,自用-小客車,,
102年02月01日 07時40分,臺南市安定區海寮里臺19線131公里100公尺處北向外側車道,死亡1;受傷0,普通重型-機車,,
102年02月01日 08時10分,高雄市鳳山區瑞興路中山東路口,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,,
102年02月01日 10時22分,臺中市北區三民路106巷三民路(口),死亡1;受傷0,自用-小貨車;行人-人,,
102年02月01日 16時12分,臺南市佳里區鎮山里佳南路與鎮山街路口(附近),死亡1;受傷0,普通重型-機車;自用-小客車,,
102年02月01日 19時03分,桃園縣大溪鎮員林路三段342號,死亡1;受傷1,普通輕型-機車;行人-人,,
