,發生時間,發生地點,死亡受傷人數,車種
6591,105年11月06日 20時29分00秒,臺中市西區中興里公益路88號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
6592,105年11月07日 07時08分00秒,臺北市松山區民權東路3段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
6593,105年11月07日 14時22分00秒,臺中市霧峰區甲寅里中正路前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車
6594,105年11月08日 09時15分00秒,苗栗縣竹南鎮科研路與科東五路口,死亡1;受傷1,自用-小客車;普通重型-機車
6595,105年11月08日 14時00分00秒,臺北市萬華區西寧南路前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
6596,105年11月08日 18時51分00秒,彰化縣埔鹽鄉永新路 / 彰化縣埔鹽鄉大新路,死亡1;受傷1,普通重型-機車;自用-大貨車;行人-人
6597,105年11月08日 19時56分00秒,彰化縣埤頭鄉斗苑東路前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車
6598,105年11月09日 01時45分00秒,桃園市蘆竹區濱海路一段359號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-小客車;其他人-人
6599,105年11月09日 03時12分00秒,新北市鶯歌區鶯桃路2段23號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
6600,105年11月09日 07時45分00秒,雲林縣麥寮鄉工業路與豐產南路口,死亡1;受傷0,自用-大貨車;普通重型-機車
6601,105年11月09日 13時15分00秒,宜蘭縣南澳鄉台9 135公里700.0公尺處南向中線,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人
6602,105年11月10日 00時44分00秒,新北市三重區重新橋機車道路前0.0公尺,死亡1;受傷1,拼裝車-其他車;普通重型-機車
6603,105年11月10日 03時57分00秒,臺北市士林區承德路4段235號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
6604,105年11月10日 05時38分00秒,高雄市仁武區澄觀路1段46-號前0.0公尺,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車
6605,105年11月10日 12時13分00秒,桃園市中壢區興平里元化路 / 桃園市中壢區興平里新生路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
6606,105年11月10日 15時59分00秒,南投縣仁愛鄉投71線16.4公里新武界橋,死亡1;受傷0,自用-小貨車(含客、貨兩用)
6607,105年11月10日 18時16分00秒,宜蘭縣壯圍鄉中央路二段355巷28號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
6608,105年11月11日 20時16分00秒,嘉義市西區世賢路1段前0.0公尺,死亡1;受傷1,電動自行車-慢車;行人-人
6609,105年11月12日 00時14分00秒,桃園市大溪區員林路二段277號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
6610,105年11月12日 05時05分00秒,彰化縣花壇鄉國道1號 201公里200.0公尺處南向外側,死亡1;受傷3,營業用-半聯結車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小貨車(含客、貨兩用);乘客-人
6611,105年11月12日 06時10分00秒,新竹縣新埔鎮文山路與褒忠路口,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車
6612,105年11月12日 11時42分00秒,高雄市燕巢區角宿路668號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
6613,105年11月12日 15時27分00秒,桃園市桃園區永安路 / 桃園市桃園區民權路,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人
6614,105年11月12日 18時58分00秒,高雄市三民區鼎中路753號前0.0公尺,死亡1;受傷1,普通重型-機車;普通輕型-機車
6615,105年11月12日 21時15分00秒,雲林縣土庫鎮宮北一號橋,死亡1;受傷0,普通重型-機車
6616,105年11月13日 12時13分00秒,花蓮縣新城鄉北埔村光復路102號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
6617,105年11月13日 15時12分00秒,新竹市北區中清路一段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;自用-大貨車
6618,105年11月13日 17時45分00秒,南投縣南投市振興里南鄉路101號前0.0公尺,死亡1;受傷1,自用-大貨車;普通重型-機車;乘客-人
6619,105年11月14日 05時54分00秒,桃園市楊梅區上湖里楊湖路三段 / 桃園市楊梅區上湖里楊湖路,死亡1;受傷0,普通重型-機車;動力機械-其他車
6620,105年11月14日 19時12分00秒,臺南市新市區臺1 316公里800.0公尺處北向外側,死亡1;受傷0,普通重型-機車;營業用-全聯結車
6621,105年11月14日 22時53分00秒,高雄市三民區民族一路前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車
6622,105年11月15日 05時53分00秒,臺中市太平區新吉里中山路三段 / 臺中市太平區新吉里新平路三段,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用)
6623,105年11月15日 07時45分00秒,桃園市楊梅區高鐵南路十段 / 桃園市楊梅區高鐵南路十段,死亡1;受傷0,自用-小客車;普通重型-機車
6624,105年11月16日 06時00分00秒,南投縣鹿谷鄉內湖村興產路6之5號前0.0公尺,死亡1;受傷5,自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車
6625,105年11月16日 18時08分00秒,臺中市梧棲區下寮里臨港路四段298號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-半聯結車
6626,105年11月17日 01時53分00秒,新北市萬里區,死亡1;受傷0,大型重型1(550C.C.以上)-機車
6627,105年11月18日 02時25分00秒,新北市新店區,死亡1;受傷2,自用-小客車;大型重型1(550C.C.以上)-機車;乘客-人;乘客-人
6628,105年11月18日 06時36分00秒,金門縣金湖鎮新湖里市港路56號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
6629,105年11月18日 08時20分00秒,臺南市官田區臺1 306公里北向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
6630,105年11月18日 20時45分00秒,臺北市文山區羅斯福路5段前0.0公尺,死亡1;受傷2,計程車-小客車;普通重型-機車;行人-人;乘客-人
6631,105年11月19日 00時35分00秒,臺南市東山區165線15.8K處,死亡1;受傷0,普通重型-機車
6632,105年11月19日 05時06分00秒,雲林縣林內鄉重興路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
6633,105年11月19日 13時25分00秒,高雄市三民區建工路229巷前0.0公尺,死亡1;受傷2,普通輕型-機車;普通輕型-機車;乘客-人
6634,105年11月19日 18時05分00秒,彰化縣埤頭鄉溪林路前0.0公尺,死亡1;受傷2,普通重型-機車;腳踏自行車-慢車;普通重型-機車
6635,105年11月19日 19時37分00秒,桃園市桃園區南華里中華路140號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
6636,105年11月19日 23時30分00秒,臺北市萬華區光復橋道路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
6637,105年11月20日 01時30分00秒,雲林縣口湖鄉164公路4.6KM,死亡1;受傷1,自用-小客車;乘客-人;乘客-人;乘客-人
6638,105年11月20日 06時26分00秒,彰化縣大城鄉村南路 / 彰化縣大城鄉南北路,死亡1;受傷0,營業用-半聯結車;民營客運-大客車
6639,105年11月20日 10時22分00秒,新北市樹林區八德街前0.0公尺,死亡1;受傷2,自用-小客車;大型重型2(250-550C.C.)-機車;乘客-人
6640,105年11月20日 11時10分00秒,屏東縣獅子鄉台九線464.1公里處西向,死亡1;受傷0,普通重型-機車;自用-小客車
6641,105年11月20日 12時00分00秒,新北市萬里區台二線道路前0.0公尺,死亡1;受傷1,計程車-小客車;普通重型-機車;乘客-人;乘客-人
6642,105年11月20日 22時20分00秒,雲林縣四湖鄉縣道160線溪湖22電桿附近,死亡2;受傷2,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人
6643,105年11月21日 05時45分00秒,臺南市柳營區大農里義士路一段605巷前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
6644,105年11月21日 12時23分00秒,雲林縣褒忠鄉158線馬忠25電桿前(16K處),死亡1;受傷0,普通重型-機車
6645,105年11月21日 12時30分00秒,臺南市將軍區,死亡1;受傷1,普通重型-機車;普通重型-機車
6646,105年11月21日 16時39分00秒,宜蘭縣三星鄉大義村上將路三段559號前0.0公尺,死亡2;受傷0,普通重型-機車;自用-小客車;乘客-人
6647,105年11月21日 18時05分00秒,雲林縣口湖鄉台61 254公里600.0公尺處南向北外側,死亡1;受傷0,普通重型-機車;自用-大貨車
6648,105年11月22日 08時40分00秒,新北市泰山區大科路前0.0公尺,死亡1;受傷0,自用-大貨車;自用-小客車;自用-小貨車(含客、貨兩用)
6649,105年11月22日 08時50分00秒,屏東縣長治鄉南二高平面道路與德和路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);營業用-小貨車(含客、貨兩用);租賃車-小客車;乘客-人
6650,105年11月22日 10時08分00秒,臺南市永康區國道1號 316公里200.0公尺處北向外側,死亡1;受傷2,營業用-半聯結車;營業用-大貨車;自用-小貨車(含客、貨兩用);自用-小客車
6651,105年11月22日 16時22分00秒,高雄市苓雅區三多一路186號前0.0公尺,死亡1;受傷0,營業用-大貨車;普通輕型-機車;計程車-小客車;計程車-小客車
6652,105年11月23日 01時00分00秒,嘉義縣東石鄉168 3公里100.0公尺處西向外側,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
6653,105年11月23日 01時07分00秒,新北市五股區成蘆橋道路前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人
6654,105年11月23日 01時27分00秒,彰化縣芳苑鄉,死亡1;受傷0,普通重型-機車;營業用-曳引車
6655,105年11月23日 02時00分00秒,桃園市大園區內海里西濱路二段819號前0.0公尺,死亡1;受傷0,自用-小客車
6656,105年11月23日 03時48分00秒,高雄市三民區同盟二路前0.0公尺,死亡1;受傷2,普通重型-機車;腳踏自行車-慢車;乘客-人
6657,105年11月23日 05時53分00秒,宜蘭縣宜蘭市中山路一段822號前0.0公尺,死亡1;受傷0,民營公車-大客車;行人-人
6658,105年11月23日 10時05分00秒,宜蘭縣南澳鄉台9 116公里900.0公尺處南向中內,死亡1;受傷0,普通重型-機車;自用-曳引車;乘客-人
6659,105年11月23日 10時20分00秒,屏東縣九如鄉東寧路台三線424.5k,死亡1;受傷0,自用-大貨車;普通重型-機車
6660,105年11月23日 17時04分00秒,新竹縣新埔鎮中正路 / 新竹縣新埔鎮環河路,死亡1;受傷0,自用-小客車;普通重型-機車
6661,105年11月23日 18時21分00秒,嘉義市東區南興路前0.0公尺,死亡1;受傷0,計程車-小客車;其他慢車-慢車
6662,105年11月23日 18時25分00秒,雲林縣斗南鎮158乙線東向5.7公里,死亡1;受傷1,自用-小客車;自用-小客車
6663,105年11月24日 08時03分00秒,屏東縣竹田鄉永豐村永豐路87號前0.0公尺,死亡1;受傷0,小型輕型-機車;自用-小貨車(含客、貨兩用)
6664,105年11月24日 17時40分00秒,臺南市永康區三民里永安路 / 臺南市永康區三民里仁愛街,死亡1;受傷0,自用-大貨車;普通重型-機車
6665,105年11月24日 23時45分00秒,新北市樹林區八德街372號前0.0公尺,死亡1;受傷0,普通重型-機車
6666,105年11月25日 06時30分00秒,臺東縣太麻里鄉台9 406公里100.0公尺處北向外側,死亡1;受傷0,行人-人;自用-小客車
6667,105年11月25日 06時38分00秒,新北市八里區龍米路1段30巷前0.0公尺,死亡1;受傷1,普通重型-機車;自用-大貨車;乘客-人
6668,105年11月25日 06時58分00秒,臺中市南區平和里美村南路前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;遊覽車-大客車
6669,105年11月25日 08時40分00秒,新竹縣芎林鄉國道3號 90公里800.0公尺處南向內側,死亡1;受傷2,營業用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);乘客-人
6670,105年11月25日 09時19分00秒,南投縣名間鄉中正村彰南路26號前0.0公尺,死亡1;受傷0,普通輕型-機車;營業用-小貨車(含客、貨兩用)
6671,105年11月25日 09時50分00秒,高雄市三民區中華二路前0.0公尺,死亡1;受傷0,自用-小客車;電動自行車-慢車
6672,105年11月25日 15時17分00秒,臺南市麻豆區,死亡1;受傷1,普通重型-機車;乘客-人
6673,105年11月25日 16時10分00秒,雲林縣北港鎮台19 65公里650.0公尺處南向北,死亡1;受傷1,自用-小客車;乘客-人
6674,105年11月25日 16時20分00秒,高雄市鼓山區鼓山一路32號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
6675,105年11月25日 19時20分00秒,嘉義縣布袋鎮聯外道路與產業道路路口,死亡1;受傷0,自用-小客車
6676,105年11月25日 19時30分00秒,臺北市大安區仁愛路4段前0.0公尺,死亡1;受傷0,民營公車-大客車;行人-人
6677,105年11月26日 05時08分00秒,臺南市仁德區後壁里中正路二段366號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
6678,105年11月26日 07時15分00秒,新竹縣竹東鎮新中正橋芎林往竹東方向,死亡1;受傷1,大型重型1(550C.C.以上)-機車;普通輕型-機車
6679,105年11月26日 07時22分00秒,高雄市大寮區萬大大橋路東向上號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
6680,105年11月26日 08時52分00秒,臺南市歸仁區台39線向南14k處慢車道,死亡1;受傷1,普通重型-機車;乘客-人
6681,105年11月26日 09時29分00秒,高雄市三民區大順三路陸橋上號前0.0公尺,死亡1;受傷0,普通輕型-機車
6682,105年11月26日 15時40分00秒,宜蘭縣蘇澳鎮聖愛路前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
6683,105年11月26日 22時43分00秒,臺中市大里區東昇里內新街139號前0.0公尺,死亡1;受傷0,普通重型-機車
6684,105年11月27日 04時44分00秒,臺東縣台東市新生路168巷前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
6685,105年11月28日 10時40分00秒,基隆市中山區通明街74號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
6686,105年11月28日 15時19分00秒,彰化縣田中鎮斗中路2段前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
6687,105年11月28日 17時12分00秒,新北市泰山區大科路595號前0.0公尺,死亡1;受傷0,普通重型-機車
6688,105年11月28日 17時30分00秒,桃園市楊梅區上田里高上路二段246號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車
6689,105年11月29日 05時48分00秒,桃園市大園區國道1號 53公里900.0公尺處北向外側,死亡1;受傷0,自用-大貨車;自用-大貨車;民營客運-大客車;自用-小客車;自用-小客車;自用-小客車
6690,105年11月29日 10時00分00秒,高雄市旗津區旗津一路014號前0.0公尺,死亡1;受傷0,普通重型-機車
6691,105年11月29日 16時00分00秒,臺中市龍井區龍泉里水裡社路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
6692,105年11月30日 00時30分00秒,新北市三峽區中正路3段248號前0.0公尺,死亡1;受傷1,大型重型2(250-550C.C.)-機車;自用-小客車;大型重型2(250-550C.C.)-機車
6693,105年11月30日 03時20分00秒,宜蘭縣壯圍鄉壯濱路二段310號前0.0公尺,死亡1;受傷0,普通重型-機車
6694,105年11月30日 05時40分00秒,臺中市后里區墩西里三光路36號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車
6695,105年11月30日 08時50分00秒,臺南市佳里區平等街與信義一街口,死亡1;受傷0,普通重型-機車;自用-小客車
6696,105年11月30日 13時38分00秒,臺北市北投區中央南路1段前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
6697,105年11月30日 13時45分00秒,臺南市麻豆區油車里新生北路 / 臺南市麻豆區油車里新興街,死亡1;受傷0,普通重型-機車;營業用-半聯結車
6698,105年11月30日 23時28分00秒,臺北市信義區國道3甲號 3公里900.0公尺處西向交流道,死亡1;受傷0,自用-小客車
6699,105年12月01日 00時55分00秒,桃園市八德區瑞祥里介壽路二段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
6700,105年12月01日 04時27分00秒,新竹縣竹東鎮大同路與信義路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
6701,105年12月01日 05時23分00秒,桃園市龍潭區東興里中興路389號前0.0公尺,死亡1;受傷0,遊覽車-大客車;腳踏自行車-慢車;自用-小客車
6702,105年12月01日 05時45分00秒,臺中市新社區新社里東新路三段48號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
6703,105年12月01日 07時25分00秒,彰化縣秀水鄉復興巷 / 彰化縣秀水鄉復興巷,死亡1;受傷1,普通重型-機車;普通重型-機車
6704,105年12月01日 08時12分00秒,屏東縣屏東市和平路 / 屏東縣屏東市勝利路,死亡1;受傷0,營業用-全聯結車;腳踏自行車-慢車
6705,105年12月02日 21時56分00秒,臺北市中正區新生南路1段60號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
6706,105年12月03日 14時10分00秒,新竹市香山區中華路五段473號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小客車;乘客-人
6707,105年12月04日 00時00分00秒,屏東縣東港鎮沿海路與明德路口,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人
6708,105年12月04日 01時11分00秒,彰化縣田尾鄉延平路前0.0公尺,死亡1;受傷0,普通重型-機車
6709,105年12月04日 01時48分00秒,花蓮縣吉安鄉吉安路三段 / 花蓮縣吉安鄉福興路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人
6710,105年12月04日 04時51分00秒,臺中市南屯區文山里向上路五段前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
6711,105年12月04日 05時20分00秒,雲林縣大埤鄉庄寮19號電桿附近(大埤所轄),死亡1;受傷0,行人-人;自用-小客車
6712,105年12月04日 06時26分00秒,嘉義縣布袋鎮172 4公里100.0公尺處東向一般,死亡1;受傷0,自用-小客車;普通輕型-機車;乘客-人;乘客-人
6713,105年12月04日 08時28分00秒,臺北市文山區景文街前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
6714,105年12月04日 11時29分00秒,雲林縣土庫鎮大荖162-3號旁路口,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人
6715,105年12月04日 15時45分00秒,臺東縣台東市豐谷北路 / 臺東縣台東市豐樂路,死亡1;受傷1,普通重型-機車;普通重型-機車
6716,105年12月05日 00時36分00秒,新北市蘆洲區中山一路前0.0公尺,死亡1;受傷0,行人-人;遊覽車-大客車
6717,105年12月05日 12時40分00秒,臺南市永康區新樹里富強路二段353號前0.0公尺,死亡1;受傷1,自用-小客車;自用-小貨車(含客、貨兩用)
6718,105年12月05日 19時45分00秒,彰化縣永靖鄉永福路2段前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車
6719,105年12月05日 20時45分00秒,屏東縣萬丹鄉大昌路339號前,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人
6720,105年12月05日 22時17分00秒,花蓮縣秀林鄉民享路17號秀林3號橋前(秀林所),死亡1;受傷0,普通重型-機車
6721,105年12月06日 10時35分00秒,基隆市暖暖區八堵路1號前0.0公尺,死亡1;受傷0,普通重型-機車
6722,105年12月07日 02時00分00秒,屏東縣新園鄉雙園大橋南端,死亡1;受傷0,普通重型-機車
6723,105年12月07日 07時00分00秒,桃園市中壢區過嶺里民族路六段576巷39弄前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
6724,105年12月07日 15時10分00秒,高雄市仁武區仁孝路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
6725,105年12月07日 15時30分00秒,花蓮縣富里鄉台9 310公里200.0公尺處北向外側,死亡1;受傷0,普通重型-機車;自用-小客車
6726,105年12月07日 16時52分00秒,屏東縣竹田鄉信實路156-8號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車
6727,105年12月08日 18時10分00秒,宜蘭縣壯圍鄉永美路20巷前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
6728,105年12月08日 22時32分00秒,彰化縣社頭鄉中山路1段 / 彰化縣社頭鄉中興路,死亡1;受傷0,普通輕型-機車;民營客運-大客車
6729,105年12月09日 00時58分00秒,屏東縣高樹鄉維興路 / 屏東縣高樹鄉泰和路,死亡1;受傷0,自用-小客車;行人-人
6730,105年12月09日 08時41分00秒,彰化縣二林鎮斗苑路4段 / 彰化縣二林鎮大成路,死亡1;受傷0,自用-曳引車;腳踏自行車-慢車
6731,105年12月09日 11時46分00秒,嘉義縣朴子市台19 88公里600.0公尺處南向內側,死亡1;受傷0,普通輕型-機車;營業用-曳引車
6732,105年12月09日 22時52分00秒,新北市樹林區中山路1段前0.0公尺,死亡1;受傷0,民營公車-大客車;普通重型-機車
6733,105年12月10日 00時13分00秒,臺南市仁德區國道1號 332公里300.0公尺處南向內側,死亡1;受傷0,自用-小客車;自用-小客車
6734,105年12月10日 08時40分00秒,新竹縣新豐鄉台15線63.5公里南下車道,死亡1;受傷1,普通重型-機車;普通重型-機車
6735,105年12月10日 12時16分00秒,花蓮縣吉安鄉中央路一段 / 花蓮縣吉安鄉福興七街,死亡1;受傷1,普通輕型-機車;自用-小客車
6736,105年12月10日 19時35分00秒,桃園市中壢區永福里東園路38-2號前0.0公尺,死亡1;受傷0,自用-小客車;自用-小客車;乘客-人
6737,105年12月10日 23時30分00秒,臺北市士林區承德橋道路前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
6738,105年12月11日 00時47分00秒,新北市板橋區中山路前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小客車;自用-小客車
6739,105年12月11日 01時42分00秒,桃園市桃園區文中里文中一路 / 桃園市桃園區文中里力行路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
6740,105年12月11日 04時43分00秒,臺北市大同區環河北路2段13號前0.0公尺,死亡1;受傷1,大型重型1(550C.C.以上)-機車;自用-小客車;乘客-人
6741,105年12月11日 07時33分00秒,金門縣金城鎮民權路 / 金門縣金城鎮民生路,死亡1;受傷0,自用-小客車;電動自行車-慢車
6742,105年12月11日 20時35分00秒,臺南市東山區165 15公里800.0公尺處南向外側,死亡1;受傷0,普通重型-機車
6743,105年12月11日 23時35分00秒,臺北市中正區水源快速道路前0.0公尺,死亡1;受傷0,自用-小客車;自用-大貨車
6744,105年12月12日 05時36分00秒,彰化縣二林鎮斗苑路3段前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
6745,105年12月12日 06時07分00秒,基隆市七堵區八德路17巷前0.0公尺,死亡1;受傷0,普通重型-機車
6746,105年12月12日 13時05分00秒,新北市中和區莒光路220號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
6747,105年12月12日 17時45分00秒,臺南市將軍區南19線1.1公里處路口,死亡1;受傷0,拼裝車-其他車;普通重型-機車
6748,105年12月12日 20時15分00秒,嘉義縣番路鄉台18 56公里300.0公尺處西向路肩,死亡1;受傷0,普通重型-機車
6749,105年12月12日 21時04分00秒,高雄市大寮區鳳林四路(全國號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小客車;乘客-人
6750,105年12月13日 09時38分00秒,臺北市中山區中山北路1段97號前0.0公尺,死亡1;受傷0,民營客運-大客車;普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用)
6751,105年12月13日 14時35分00秒,高雄市前鎮區新生路前0.0公尺,死亡1;受傷0,營業用-半聯結車;普通重型-機車
6752,105年12月13日 23時45分00秒,高雄市新興區中正三路180號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
6753,105年12月14日 08時45分00秒,雲林縣崙背鄉雲9鄉道近有北18電桿前,死亡1;受傷0,普通重型-機車
6754,105年12月14日 11時05分00秒,雲林縣虎尾鎮埒內255之13號旁路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
6755,105年12月14日 11時31分00秒,臺中市太平區聖和里長龍路一段330號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
6756,105年12月15日 07時50分00秒,臺南市仁德區中正路與中山路口,死亡1;受傷0,營業用-半聯結車;普通重型-機車
6757,105年12月15日 15時46分00秒,新竹縣竹北市東興路二段285巷前0.0公尺,死亡1;受傷0,租賃車-小客車;普通重型-機車
6758,105年12月16日 06時11分00秒,臺北市松山區敦化北路前0.0公尺,死亡1;受傷0,計程車-小客車;行人-人
6759,105年12月16日 06時15分00秒,花蓮縣花蓮市大同街 / 花蓮縣花蓮市復興街,死亡1;受傷0,自用-小客車;行人-人
6760,105年12月16日 10時52分00秒,高雄市茄萣區濱海路3段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
6761,105年12月16日 10時54分00秒,雲林縣斗南鎮中興路前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
6762,105年12月16日 18時20分00秒,臺南市新市區營尾高分36右9電線桿處,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車
6763,105年12月16日 19時39分00秒,高雄市鳳山區過埤路56巷前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車
6764,105年12月17日 00時36分00秒,新竹市東區寶山路220號前0.0公尺,死亡1;受傷0,普通重型-機車
6765,105年12月17日 10時12分00秒,桃園市八德區介壽路一段959號前,死亡1;受傷1,行人-人;普通重型-機車
6766,105年12月17日 13時39分00秒,澎湖縣白沙鄉203 21公里700.0公尺處南向中外,死亡2;受傷4,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人
6767,105年12月17日 18時27分00秒,高雄市岡山區嘉峰路4-1號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
6768,105年12月18日 01時10分00秒,屏東縣屏東市和興里忠孝路521-1號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
6769,105年12月18日 05時49分00秒,臺中市東勢區泰興里石城街647號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
6770,105年12月18日 09時20分00秒,臺南市東山區田尾8-6號前路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
6771,105年12月18日 16時25分00秒,南投縣草屯鎮新厝里中興路 / 南投縣草屯鎮新厝里虎山路,死亡1;受傷0,自用-小客車;行人-人
6772,105年12月18日 18時33分00秒,新竹縣新豐鄉中興路 / 新竹縣新豐鄉精工路,死亡1;受傷0,營業用-大貨車;普通重型-機車
6773,105年12月18日 18時50分00秒,雲林縣西螺鎮漢光里西興南路 / 雲林縣西螺鎮漢光里光復西路,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車;自用-小客車;乘客-人
6774,105年12月19日 06時47分00秒,臺南市永康區中山北路147號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
6775,105年12月19日 07時40分00秒,桃園市平鎮區快速路一段702號對面R105120367,死亡1;受傷0,普通重型-機車;營業用-曳引車
6776,105年12月19日 10時30分00秒,桃園市平鎮區高雙里民族路三段前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
6777,105年12月19日 12時59分00秒,花蓮縣吉安鄉光華二街 / 花蓮縣吉安鄉知卡宣大道二段,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
6778,105年12月19日 15時50分00秒,南投縣魚池鄉,死亡1;受傷1,普通重型-機車;自用-大貨車;乘客-人
6779,105年12月19日 18時00分00秒,桃園市大園區橫峰里水源路310號前0.0公尺,死亡1;受傷2,營業用-大貨車;自用-小客車;乘客-人;乘客-人
6780,105年12月20日 06時40分00秒,嘉義縣義竹鄉,死亡1;受傷0,電動自行車-慢車;自用-小貨車(含客、貨兩用)
