,發生時間,發生地點,死亡受傷人數,車種
113,102年01月22日 12時30分,臺南市北區大興街166之3號,死亡1;受傷0,自用-小貨車;普通輕型-機車
114,102年01月23日 17時15分,高雄市甲仙區復興路忠孝路口,死亡1;受傷0,普通重型-機車;自用-大貨車
115,102年01月23日 22時30分,苗栗縣西湖鄉二湖村台1線120公里200公尺處南向外側車道,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車
116,102年01月24日 00時20分,高雄市岡山區嘉峰路600巷口以北100公尺處,死亡1;受傷0,普通重型-機車
117,102年01月24日 04時55分,桃園縣觀音鄉廣福村福山路二段分塔線樑43號前(桃35-1線)(附近),死亡1;受傷0,普通重型-機車
118,102年01月24日 05時30分,桃園縣龍潭鄉黃塘村成功路377巷(中興所)(附近),死亡1;受傷0,普通重型-機車
119,102年01月24日 10時45分,高雄市鼓山區翠華路267號前,死亡1;受傷0,行人-人;自用-大貨車
120,102年01月24日 11時36分,臺北市信義區信義路5段松德路(口)信義路5段 松德路,死亡1;受傷0,民營公車-大客車;普通重型-機車
121,102年01月24日 21時00分,新竹縣新埔鎮文山路犁與文華路口(文山路犁頭山段26號附近)(往竹北方向)(附近),死亡1;受傷0,自用-小客車;自用-小客車
122,102年01月24日 22時50分,桃園縣桃園市西埔里富國路822巷148號M10201631埔子所(附近),死亡1;受傷0,普通重型-機車
123,102年01月25日 09時00分,桃園縣觀音鄉富林村工業七路9號,死亡1;受傷0,自用-大貨車;普通重型-機車
124,102年01月25日 09時35分,彰化縣二林鎮彰化縣二林鎮儒林路2-3號,死亡1;受傷0,普通重型-機車;自用-小客車
125,102年01月25日 12時35分,屏東縣獅子鄉丹路村台9線468公里000公尺處東向外側車道,死亡1;受傷0,營業用-曳引車
126,102年01月25日 13時20分,嘉義縣番路鄉江西村159甲線7公里300公尺處西向中外車道,死亡1;受傷1,普通重型-機車;普通重型-機車
127,102年01月25日 22時30分,彰化縣芬園鄉彰化縣芬園鄉彰南路3段2號(芬園分駐所),死亡1;受傷0,普通重型-機車
128,102年01月26日 06時35分,彰化縣彰化市彰化縣彰化市中山路1段秀傳醫院前(民族所),死亡1;受傷1,普通重型-機車;行人-人
