,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
2017-08,240,20,7,25,11,27,26,9,5,6,15,10,15,3,28,7,9,0,2,3,2,1,0,8,1
2017-09,225,20,6,23,20,23,24,3,8,3,17,6,13,11,15,4,5,1,1,3,1,1,0,14,3
2017-10,245,27,12,14,17,19,32,4,11,14,17,7,19,7,24,3,4,1,0,6,0,1,0,6,0
2017-11,215,22,8,21,18,24,28,8,6,6,14,8,12,7,10,3,4,1,2,1,1,0,0,10,1
2017-12,254,26,13,19,21,26,15,7,8,7,18,4,16,13,23,5,8,2,5,4,2,1,0,8,3
2018-01,252,27,11,16,22,28,25,8,4,7,24,7,17,7,25,3,4,2,2,2,2,2,0,6,1
2018-02,183,15,12,20,15,21,16,5,5,5,11,3,15,8,14,4,4,1,2,2,1,0,0,3,1
2018-03,240,19,9,21,21,30,26,4,5,8,11,10,14,13,22,5,8,0,4,0,1,0,0,7,2
2018-04,234,20,8,21,20,23,23,8,7,3,17,8,13,13,20,6,6,0,1,3,2,1,0,10,1
2018-05,226,27,12,18,17,25,18,6,9,11,14,6,20,7,16,2,3,1,3,4,1,0,0,5,1
2018-06,225,8,7,16,19,24,16,10,4,11,27,7,12,10,14,7,5,1,5,8,0,0,0,11,3
2018-07,235,21,12,26,31,15,23,6,7,6,22,5,15,10,17,3,6,1,1,3,1,1,0,2,1
2018-08,235,23,15,23,17,19,26,11,10,7,8,3,18,14,12,5,5,0,3,4,1,0,0,11,0
2018-09,230,21,11,22,22,26,23,6,11,4,14,7,11,12,9,5,4,2,2,5,2,2,0,8,1
2018-10,234,25,14,11,21,32,28,5,8,6,12,6,11,7,13,1,2,0,4,12,1,1,0,12,2
2018-11,232,21,14,22,20,23,23,7,5,3,17,12,14,9,14,6,6,2,4,2,2,1,0,5,0
2018-12,254,21,12,28,20,23,33,6,6,8,19,9,12,12,23,4,3,0,3,3,3,1,0,4,1
2019-01,299,27,17,25,30,31,31,9,5,10,21,9,22,10,15,3,7,2,7,5,1,1,0,11,0
2019-02,208,13,9,14,23,18,30,7,6,9,15,4,12,7,11,7,1,0,7,7,3,0,0,5,0
2019-03,228,13,9,24,16,22,34,9,5,5,12,7,18,8,22,5,3,0,0,2,5,0,0,9,0
2019-04,212,24,16,19,17,23,24,4,4,5,15,4,9,9,11,4,6,0,2,5,1,0,0,8,2
2019-05,227,22,9,15,29,22,34,5,9,7,15,4,13,8,11,5,1,2,1,4,1,2,0,7,1
2019-06,246,20,7,21,18,27,31,8,5,7,21,7,13,13,17,6,5,0,3,4,2,1,0,10,0
2019-07,222,14,15,22,20,24,22,7,4,9,28,7,13,7,11,4,1,1,0,4,1,0,1,6,1
2019-08,224,11,10,27,19,18,26,12,5,7,13,7,14,8,14,9,8,1,1,3,0,0,0,10,1
2019-09,215,19,10,18,26,21,25,2,7,5,13,15,12,8,14,3,4,1,1,3,3,0,0,3,2
2019-10,278,25,9,22,29,34,36,7,9,4,24,5,10,16,19,5,5,1,2,7,3,0,2,4,0
2019-11,220,22,11,21,15,28,22,2,11,8,11,8,17,11,11,5,5,0,1,4,1,0,0,5,1
