,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
2011-04,808.0164275669724,389.2109094946181,579.7850803239953,855.4524864520083,1388.9124521430308,719.0930139072697,1024.1685752625062,885.2714324866339,947.0507245813142,647.2999745003041,779.9313997470204,687.2446629074446,673.0894105719724,622.7501533776342,971.7804603206876,804.52622103162,999.8580083301779,734.4118498903554,488.82371239390307,1126.2505223016813,1043.2814876312366,385.235348384546,0.0
2011-05,843.5554760813252,434.1409020443321,593.229737140739,896.5245082460798,1495.6487136064466,702.4781036080471,1058.4777395098906,957.5521485076332,940.3024510032483,661.5950325091037,809.3969762584551,752.6031495012813,725.0932562135881,639.9538345441902,1026.8888487690558,757.4999020474264,971.1094925952901,817.568406673014,531.2244855234786,1064.8452376955215,1069.161131032861,372.69082777654666,0.0
2011-06,866.4187540230513,461.35185571803487,628.280355691666,913.3535580655051,1476.2059698974488,700.3697610954999,1062.5938471271552,1073.2580238555,1093.1104915308206,695.4189720994342,818.882761751121,869.5221060740695,774.5132030734474,698.0718773319212,1037.0303869469988,902.2753029378432,1045.7493104868215,1097.3425675745623,573.6438169578543,896.1625552613608,1142.8445437441203,451.394809962785,199.8001998001998
2011-07,871.9567011979174,422.92639979806034,672.1342175834557,975.3249754923448,1501.5506615290303,701.1497255918584,993.6353239341322,1184.2615128070047,1082.1944109895096,664.9552536813206,853.4641211504972,900.546815078817,702.2196856517774,670.7840205163554,996.3853673033551,881.330197775732,1230.0596949451958,951.8094725734031,616.278673348701,979.5140269282535,1176.496540364861,468.8372835368287,100.09008107296567
2011-08,847.7324687054269,403.72181366779984,611.5804694391647,967.2224586765032,1475.1376124359895,710.1587354056248,1007.9925332817855,1097.2097346885905,933.8497276917444,762.6161296875056,793.8693344767097,828.5526102270884,726.3424389711408,580.5305270030158,1062.1453028613341,825.7241469701603,1058.7408398157731,962.3145216365555,616.7072556264696,1009.6515027538125,1014.8551257537874,435.2384909094506,0.0
2011-09,838.9966577645858,396.1549694814897,639.3699630203262,1000.9113666121438,1509.120138595428,708.9435089292235,1023.3823761150197,1003.631360323252,963.902061356818,625.3396164227366,775.0201044819182,687.6909058608458,701.4399820789785,636.6246642872123,892.4602693544383,739.1823505998749,1003.0328389390405,857.6240713377903,522.7940848082344,960.4954436198732,1103.923343563023,509.48424517949525,0.0
2011-10,869.0572816351912,428.69928240801687,627.6635027482506,1077.58031255299,1602.606254861364,727.490950332354,937.4348753175561,942.7471608722915,1048.1247848636858,794.2684449256753,790.4507411051269,839.1057693778002,766.0227594184389,689.0326798356723,1022.5126081003795,783.5275372722737,973.6260148121762,566.9693939612605,528.2509112985249,1071.7857765195367,1100.70533492365,291.75216625983444,0.0
2011-11,885.174945788473,429.52834925433007,617.274156612351,1053.5868170446493,1562.6584346376144,785.9515555446617,1165.5259557547167,1023.4589865142946,1026.4658067035368,637.2000220706153,706.029337053801,793.555184592409,809.8005480864609,687.4652783584072,1000.0242780460567,827.386945672635,1089.5509981118407,690.0742602300934,552.223224405111,1001.4688209373749,850.5342533340206,512.8701374104896,0.0
2011-12,942.2210082001602,462.4084407030753,733.3170373991688,1036.10729621195,1775.6382877307185,705.395959423749,1282.046661164114,960.6566447596289,996.8298492584629,604.971441789292,855.6919631722459,902.8188222422424,756.7731194187983,743.574586107796,1009.7983988969715,819.1335581935258,1092.5133150060267,741.0685797214818,631.700300320851,945.1210802472075,777.0894868263076,452.4320629939451,0.0
2012-01,908.4606250074794,441.30277479648134,605.361786593762,915.4926780444599,1570.7456408713495,797.5004195267738,1380.217483355406,895.3897232788256,882.489818539238,743.5552614539529,758.3933728086807,964.4788560974583,803.314196790949,801.6695559011064,1065.8722966944072,1012.6338123252001,1048.3083036114667,812.3560381704508,581.9740771365822,808.865162177465,872.85101869448,277.4110849643192,0.0
2012-02,827.1497597723475,445.70908692908995,596.8466601455642,892.302378348119,1392.2401267377222,767.5520947354236,1213.767613234824,893.651153463879,914.403004797722,567.4238246856045,751.0407443443484,744.9238894601888,628.3406896880597,631.2002859951738,819.8809551381522,741.4426983249537,852.5908959928228,514.0436731504709,506.04086279967106,810.7696843466766,883.8183900511509,303.5074074776638,0.0
2012-03,921.5436561943345,558.054928622275,695.6490315119977,992.0964635233413,1537.7703603755847,817.9880688771517,1338.938493887016,874.3793759853122,981.0516333835103,636.7172424096368,762.1939507001888,789.4202359830006,739.3927999696947,648.8022327745804,881.8628280332721,834.1675008341674,1004.5024295288051,574.6418749743464,548.7822574474766,961.9015725309412,994.6070197153214,413.69713608755336,0.0
2012-04,863.496857692259,463.8436548534009,553.6571651022967,925.0161853046357,1448.4748510988074,792.832242767469,1294.2177551106463,926.9781167730692,899.4936255371441,666.8184048992481,694.8218097187432,753.1563575595435,712.9534376846416,683.0333398650729,962.4717201456928,812.9081018376116,1022.8414774112597,696.6356595500554,522.5846296775283,889.8232692344197,994.1272851120234,438.44101569059126,0.0
2012-05,872.9854545717276,473.50017291166165,616.6815168786972,975.3980728828932,1448.141925392626,789.5378514987377,1254.5364774230286,811.3218657785745,875.4983606052676,636.4365243454748,736.5893452889421,809.2787063814119,728.8281734919998,711.6799569629759,967.598221661206,716.7985927880387,1044.4066223116201,798.8611108266165,480.81749541638266,947.8380997741775,1034.2479618690074,325.13981011835085,0.0
2012-06,818.3822135113069,368.0414692317332,554.2073764401038,915.2998634228056,1399.2137929126195,749.9487703554672,1192.9459459654215,983.3935143998465,888.0619106017677,598.9151992948084,603.5592310732283,782.7818686231097,716.4058340719806,676.5786055378519,902.0482415863975,840.6912154370274,1086.2448663770012,1023.2900822725226,475.8115891842739,804.6308874132063,1045.3128393125965,425.3469814234329,0.0
